Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
NEE,93.67,1.01,0.54,8826440.0,59.9,0.1023,92.08,90.27,1.72,22.6,100.0,1.87,95.26,True,,False,False,True,True,False,0.15,True,True,False,92.16,96.48,3.0,1.61,1.86,HIGH,93.5
ADI,327.41,0.02,0.72,3265220.0,56.0,1.8678,319.26,316.2,2.55,25.4,98.4,9.91,362.07,False,,False,False,False,True,False,-1.09,True,True,False,321.19,337.23,3.0,1.9,1.58,HIGH,88.5
MRK,119.28,-1.3,1.39,8099870.0,55.1,0.3284,118.37,115.63,0.77,14.2,90.8,2.73,124.22,True,,False,False,False,True,False,-1.07,True,True,False,116.89,122.86,3.0,2.0,1.5,HIGH,88.5
KLAC,1548.85,0.57,0.59,869120.0,57.3,6.3002,1490.13,1456.23,3.94,16.7,99.9,67.07,1691.15,False,,False,False,True,True,False,-1.07,True,True,False,1517.87,1595.32,3.0,2.0,1.5,HIGH,83.5
PANW,169.87,4.89,1.15,7498800.0,58.7,0.9223,161.29,165.15,5.32,15.6,89.8,6.78,223.61,False,Engulfing,False,False,True,False,False,-0.24,True,True,False,166.47,174.97,3.0,2.0,1.5,HIGH,82.5
GOOGL,305.46,1.82,0.64,32593620.0,54.9,1.7739,297.18,303.39,2.79,25.5,98.0,8.24,348.75,False,,False,False,True,True,True,0.91,True,True,False,299.35,314.62,3.0,2.0,1.5,HIGH,81.0
UNP,246.11,0.23,1.11,2578800.0,52.3,0.9462,244.21,244.68,0.78,32.2,81.3,4.7,268.14,False,,False,False,True,True,False,-0.25,False,True,False,243.33,253.16,2.86,1.13,2.54,HIGH,80.0
LRCX,224.35,1.68,0.72,9236880.0,51.6,0.0689,221.08,218.27,1.48,18.6,98.2,11.84,256.37,False,,False,False,True,True,False,-1.09,True,True,False,219.86,231.08,3.0,2.0,1.5,GOOD,75.5
AVGO,333.97,6.21,1.35,21365320.0,57.9,1.6424,317.93,324.82,5.04,21.9,98.5,12.61,412.95,False,,False,False,True,True,True,3.91,True,True,False,327.29,343.99,3.0,2.0,1.5,GOOD,73.3
CME,310.58,0.65,0.73,1894700.0,58.2,0.0654,303.62,298.27,2.29,20.3,61.3,6.22,321.47,True,,False,False,True,True,False,-0.11,False,True,False,307.26,319.9,3.0,1.07,2.81,GOOD,73.0
CAT,724.44,0.44,0.68,2221810.0,54.4,2.8706,710.2,697.05,2.0,14.9,92.3,25.46,789.81,False,Hammer,False,False,True,True,False,-0.23,False,True,False,709.95,746.17,3.0,2.0,1.5,GOOD,72.0
RTX,197.92,-0.25,0.69,4377530.0,50.0,0.0396,197.37,197.04,0.28,24.1,91.3,4.78,214.5,False,Hammer,False,False,False,True,False,-0.5,False,True,False,195.51,203.86,3.0,1.22,2.46,MODERATE,69.0
CSCO,80.68,0.3,0.51,21369770.0,56.4,0.1531,78.91,78.31,2.24,13.2,85.7,2.04,87.71,False,,False,False,True,True,False,-0.67,False,True,False,79.42,83.1,3.0,1.56,1.92,MODERATE,67.5
