Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
EICHERMOT,7830.5,1.72,3.39,441627.0,66.1,36.4227,False,7525.96,7376.41,4.05,16.3,91.3,160.2,8144.71,True,Hammer,False,False,True,True,True,1.16,False,False,False,False,7673.89,8065.41,3.0,2.0,1.5,31,242745.5,MODERATE,60.0
MARICO,885.35,1.22,1.07,1765386.0,68.8,2.8961,False,852.81,833.84,3.82,42.0,77.5,16.82,889.1,True,Engulfing,False,False,True,True,False,-0.05,False,False,False,False,872.4,910.58,2.85,1.46,1.95,386,341745.09,WEAK,48.5
MARUTI,14188.0,1.72,1.72,363391.0,60.9,24.599,True,13756.43,13656.96,3.14,14.8,85.4,294.94,17370.0,False,,False,False,True,True,False,-0.06,False,False,False,False,13904.24,14613.64,3.0,2.0,1.5,17,241196.0,WEAK,45.5
ASIANPAINT,2746.2,-0.44,2.38,1003725.0,59.9,6.0486,False,2697.3,2656.23,1.81,18.7,78.7,59.84,2960.02,False,,False,False,False,True,False,-0.01,False,False,False,False,2691.28,2828.59,3.0,2.0,1.5,91,249904.2,WEAK,44.3
M&M,3283.7,1.92,2.21,2194359.0,60.5,9.9558,False,3178.56,3137.75,3.31,18.1,66.6,78.18,3799.99,False,Engulfing,False,False,True,True,False,-0.06,False,False,False,False,3218.03,3382.21,3.0,2.0,1.5,76,249561.2,WEAK,43.8
APOLLOHOSP,8988.0,0.59,1.41,186102.0,64.6,-11.8295,False,8837.14,8598.01,1.71,26.3,85.4,124.34,9009.0,True,,False,False,True,True,False,-0.39,False,False,False,False,8865.5,9174.51,2.08,1.36,1.52,40,359520.0,WEAK,42.9
NESTLEIND,1520.7,1.16,1.29,2859194.0,67.3,6.1749,False,1456.47,1426.9,4.41,23.1,66.6,33.8,1532.6,True,,False,False,True,True,False,0.0,False,False,False,False,1497.0,1566.32,3.0,1.56,1.92,210,319346.99,WEAK,42.2
HAVELLS,1261.7,2.0,1.19,1374114.0,66.9,6.3022,False,1210.63,1204.88,4.22,11.8,92.6,28.11,1608.14,False,,False,False,True,True,False,0.0,False,False,False,False,1236.47,1299.55,3.0,2.0,1.5,198,249816.59,WEAK,42.2
IDFCFIRSTB,84.76,-0.31,0.54,35662694.0,65.9,0.3017,False,81.5,78.21,4.01,34.5,81.5,2.07,88.76,True,,False,False,False,True,False,-0.11,False,False,False,False,83.7,87.3,3.0,1.25,2.4,4716,399728.17,WEAK,38.2
PIDILITIND,1629.9,0.0,0.86,1292141.0,64.4,4.0113,False,1585.09,1544.85,2.83,29.4,63.9,31.98,1637.0,True,,False,False,False,True,False,0.37,False,False,False,False,1619.1,1677.86,2.94,0.66,4.44,462,753013.81,WEAK,37.0
ULTRACEMCO,11847.0,0.76,0.8,366158.0,62.7,19.0235,False,11559.49,11412.06,2.49,12.4,89.3,207.51,12847.76,False,,False,False,True,True,False,0.36,False,False,False,False,11730.0,12158.26,2.63,0.99,2.66,42,497574.0,WEAK,36.5
SIEMENS,3658.8,0.22,0.58,372997.0,55.3,11.9703,False,3621.41,3599.81,1.03,22.3,92.5,93.57,3918.05,False,,False,False,False,True,False,0.0,False,False,False,False,3585.62,3768.56,3.0,2.0,1.5,68,248798.4,WEAK,36.1
WIPRO,186.33,1.48,3.63,14860008.0,67.0,1.9061,False,177.19,180.8,5.16,19.0,36.9,3.95,263.22,False,,False,True,True,False,False,-0.11,True,False,False,False,183.4,191.92,3.0,1.57,1.91,1706,317878.98,WEAK,34.6
BHARTIARTL,1956.8,0.34,0.97,5539955.0,64.9,2.5079,False,1903.07,1874.47,2.82,23.2,66.8,30.74,2147.47,False,,False,False,True,True,False,0.19,False,False,False,False,1943.9,2002.91,2.36,0.66,3.57,387,757281.62,WEAK,34.4
SUNPHARMA,2001.1,0.56,0.89,2499132.0,70.9,2.0564,False,1941.78,1888.68,3.05,35.6,44.7,30.48,2017.3,True,,False,True,True,True,False,0.16,False,False,False,False,1988.0,2046.82,2.28,0.65,3.49,381,762419.09,WEAK,33.7
MGL,1118.5,1.22,25.03,119986.0,52.0,1.0508,True,1106.32,1112.54,1.1,20.5,50.5,33.57,1372.63,False,,False,True,True,True,False,0.18,False,False,False,False,1096.13,1152.06,3.0,2.0,1.5,223,249425.5,WEAK,33.6
SBILIFE,1877.5,-0.92,1.71,884928.0,59.1,5.6042,False,1842.58,1830.83,1.9,26.0,31.4,38.91,2129.04,False,,False,True,False,True,False,-0.67,False,False,False,False,1862.6,1933.83,3.0,0.79,3.78,335,628962.5,WEAK,32.9
PNB,111.64,0.5,0.41,25332232.0,61.9,0.41,False,108.9,107.42,2.52,20.6,83.5,2.1,131.33,False,,False,False,True,True,False,-0.03,False,False,False,False,110.32,114.79,2.82,1.18,2.39,3787,422780.68,WEAK,32.9
HEROMOTOCO,5325.0,3.42,2.05,668664.0,72.5,44.3079,False,4994.46,4951.82,6.62,22.6,85.2,111.06,6175.52,False,,False,False,True,True,False,0.38,False,False,True,False,5218.5,5484.75,3.0,2.0,1.5,46,244950.0,WEAK,32.8
RECLTD,370.65,0.17,0.78,5138513.0,66.6,1.7197,False,358.13,353.03,3.5,18.6,61.5,7.82,383.06,True,,False,False,False,True,False,-0.39,False,False,False,False,366.94,381.77,3.0,1.0,3.0,1347,499265.54,WEAK,31.8
PFC,422.3,-0.2,1.44,5377339.0,57.7,2.7143,False,413.34,417.36,2.17,13.5,50.0,8.67,481.99,False,,False,False,False,True,False,0.0,False,False,False,False,419.48,434.97,3.0,0.67,4.49,1773,748737.93,WEAK,31.8
BERGEPAINT,521.35,0.25,1.19,264898.0,58.5,2.7553,False,505.51,503.98,3.13,13.6,66.3,14.63,594.55,False,,False,False,False,True,False,-0.61,False,False,False,False,512.2,536.99,3.0,1.76,1.71,546,284657.09,WEAK,31.8
PETRONET,278.9,0.65,0.89,2040845.0,52.9,0.1451,True,276.59,276.14,0.83,9.5,60.8,6.1,322.68,False,Engulfing,False,False,True,True,False,-0.02,False,False,False,False,275.1,287.27,3.0,1.36,2.2,1315,366753.49,WEAK,30.6
ICICIBANK,1433.9,-0.28,1.05,13436019.0,59.0,-3.7937,False,1420.15,1378.17,0.97,29.7,57.7,24.39,1483.06,True,,False,False,False,True,False,-0.47,False,False,False,False,1422.6,1470.49,2.55,0.79,3.24,442,633783.81,WEAK,30.3
HINDALCO,970.4,0.83,1.1,3865739.0,51.5,4.1015,False,960.08,981.74,1.07,15.3,78.7,19.8,1169.9,False,,False,False,True,False,True,0.58,False,False,False,False,960.6,999.51,3.0,1.01,2.97,510,494904.01,WEAK,29.7
