Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
MGL,1128.0,1.49,7.11,224469.0,57.9,3.2941,False,1105.69,1101.18,2.02,29.8,13.4,32.0,1341.92,False,,False,True,True,True,False,2.75,False,False,False,False,1121.0,1161.84,3.0,0.62,4.83,714,805392.0,WEAK,35.1
PETRONET,288.15,0.66,3.0,1749780.0,61.3,0.7735,False,280.87,278.62,2.59,14.9,42.7,6.2,322.68,False,,False,True,True,True,False,0.0,False,False,False,False,285.65,296.79,3.0,0.87,3.46,2000,576299.99,WEAK,31.0
HDFCAMC,2551.7,1.06,1.11,715075.0,48.6,2.71,True,2549.32,2583.79,0.09,12.0,98.3,55.35,2903.74,False,Engulfing,False,False,True,False,False,-0.39,False,False,False,False,2501.0,2628.25,3.0,1.99,1.51,98,250066.6,WEAK,29.1
ETERNAL,320.0,1.3,1.36,20595029.0,65.0,-0.7219,False,309.04,291.52,3.55,45.1,59.3,8.06,368.45,False,,False,True,True,True,False,0.08,False,False,False,False,315.85,329.6,3.0,1.3,2.31,1204,385280.0,WEAK,25.8
