Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
BLK,1160.91,1.05,0.52,730740.0,69.9,5.7102,False,1100.07,1064.96,5.53,27.8,90.1,25.62,1200.54,True,Hammer,False,False,True,True,True,0.71,True,True,False,False,1145.08,1195.74,3.0,1.36,2.2,6,6965.46,MODERATE,69.8
CSCO,123.88,2.86,1.81,19748650.0,63.1,0.8948,False,118.23,114.85,4.78,15.5,74.0,3.86,129.88,True,,False,False,True,True,True,1.93,True,True,False,False,122.26,127.6,3.0,1.31,2.3,61,7556.68,MODERATE,67.8
SMCI,37.61,19.02,3.74,44133330.0,67.5,0.9134,False,30.32,30.37,24.06,17.2,87.2,2.53,58.78,False,,False,False,True,True,True,10.73,True,True,False,False,36.86,38.74,3.0,1.99,1.51,133,5002.13,MODERATE,67.2
EQIX,1069.17,3.56,0.65,701310.0,56.2,2.9272,False,1043.65,1044.42,2.44,11.9,96.8,31.02,1124.0,True,,False,False,True,True,True,1.76,True,True,False,False,1047.79,1101.25,3.0,2.0,1.5,4,4276.68,MODERATE,64.5
DLR,197.06,3.28,0.99,2205770.0,60.1,0.5749,False,189.65,187.11,3.91,22.3,86.9,5.87,207.47,False,,False,False,True,True,True,1.72,True,True,False,False,193.12,202.97,3.0,2.0,1.5,25,4926.5,MODERATE,60.6
SCHW,109.34,1.52,0.76,7250200.0,71.9,0.0237,True,104.96,100.28,4.18,39.3,89.0,2.18,109.66,True,,False,False,True,True,False,-0.65,True,True,False,False,107.16,112.6,2.98,1.99,1.5,45,4920.3,MODERATE,60.1
BAC,64.81,1.27,1.04,26582830.0,73.7,0.0436,True,62.28,59.52,4.07,35.0,87.4,1.05,64.95,True,,False,False,True,True,False,0.19,True,True,False,False,63.84,66.38,2.42,1.5,1.62,103,6675.43,MODERATE,60.1
WFC,88.93,1.69,1.11,12971310.0,61.3,0.0502,True,86.72,84.77,2.55,13.5,84.1,1.85,96.18,False,,False,False,True,True,True,0.63,True,True,False,False,87.4,91.6,3.0,1.72,1.75,65,5780.45,MODERATE,60.1
LMT,606.72,1.5,0.9,1150920.0,69.6,2.6748,False,572.52,552.88,5.97,28.6,83.7,15.74,687.5,False,Engulfing,False,False,True,True,False,-0.38,True,True,False,False,594.59,624.92,3.0,2.0,1.5,8,4853.76,MODERATE,57.4
LLY,1220.28,0.43,0.59,3300610.0,58.1,4.075,False,1183.7,1150.77,3.09,20.2,82.4,41.19,1249.45,True,,False,False,True,True,False,-1.09,True,True,False,False,1195.87,1256.89,3.0,2.0,1.5,4,4881.12,MODERATE,55.4
JPM,365.18,0.87,0.69,6294880.0,68.9,0.1975,True,352.62,339.03,3.56,15.2,81.0,6.6,366.09,True,,False,False,True,True,False,0.26,True,True,False,False,361.3,375.08,2.71,1.06,2.55,25,9129.5,WEAK,53.6
