Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
DMART,3910.8,4.11,3.22,55.0,-7.4638,3831.13,3848.34,12.3,84.2,114.78,4949.5,False,Morning Star,True,True,True,0.63,False,3796.02,4082.98,1.5,87.0
INDIANB,909.05,4.31,1.49,51.7,-5.0922,897.34,891.84,25.0,71.9,34.25,1000.0,False,,True,True,True,1.55,True,882.1,960.43,1.91,75.5
LUPIN,2347.6,0.68,1.3,59.2,-3.2373,2300.7,2246.83,13.0,55.6,49.66,2377.6,True,,False,True,False,0.3,True,2331.2,2422.09,4.54,65.0
