Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
XOM,170.99,3.36,1.04,76.4,0.9314,158.14,148.66,35.4,96.7,4.19,171.2,True,,True,True,False,0.09,False,166.8,177.27,1.5,73.5
CVX,211.15,1.62,0.88,80.9,0.7735,198.16,186.11,47.8,78.9,4.2,212.45,True,,True,True,False,0.17,False,206.95,217.45,1.5,67.5
MO,66.48,2.88,0.69,53.6,-0.3048,65.87,64.96,21.1,85.7,1.39,70.51,False,,True,True,True,0.59,True,65.09,68.57,1.5,66.5
MRK,119.63,0.59,0.77,60.3,0.2992,116.95,114.43,16.4,41.9,2.62,124.22,True,,True,True,False,0.3,False,118.6,123.56,3.82,63.5
VZ,50.31,-0.85,0.77,55.8,-0.2623,50.09,47.81,33.6,2.6,1.01,51.68,True,,True,True,False,0.51,False,50.28,51.82,50.33,63.0
MDLZ,58.27,1.2,1.22,53.3,0.1772,57.51,57.76,13.9,66.2,1.44,69.94,False,,True,True,False,0.03,True,57.28,60.43,2.18,63.0
DUK,129.99,0.47,1.05,55.0,-0.5988,129.27,126.6,20.9,44.3,2.18,134.49,True,,True,True,False,0.13,False,129.02,133.27,3.38,50.5
JNJ,240.45,0.51,0.72,53.8,-0.6787,239.4,233.86,18.6,37.2,4.13,251.71,True,,True,True,True,0.82,False,239.13,246.65,4.7,50.5
CSCO,79.92,-2.73,0.74,52.3,0.313,79.4,78.63,13.4,19.1,2.05,88.19,False,,False,True,False,-0.23,False,79.4,82.99,5.9,46.0
NEE,91.4,0.26,0.6,51.4,-0.2751,91.36,89.55,19.6,46.2,2.08,95.26,True,,True,True,False,0.07,False,90.7,94.53,4.47,45.5
LIN,491.12,-0.88,0.72,54.1,-1.0978,487.99,475.93,17.2,39.7,10.28,508.94,True,,True,True,False,0.43,False,486.42,506.54,3.28,45.5
NFLX,93.43,0.12,1.19,54.9,-0.5884,92.43,91.26,25.0,24.3,2.8,134.12,False,,True,False,True,1.3,False,92.74,97.63,6.09,42.5
BSX,69.17,-1.43,1.32,37.6,0.4472,71.21,77.08,40.1,25.0,1.96,109.5,False,,True,False,False,-0.2,False,68.85,72.11,9.19,35.5
PEP,153.04,1.47,1.06,41.8,-0.8425,155.67,155.66,27.0,63.1,3.13,169.96,False,,True,True,False,0.21,True,150.47,157.73,1.82,35.0
DHR,181.52,-3.47,1.31,27.8,0.0117,193.8,204.75,45.0,9.8,5.21,242.8,False,,False,False,False,-1.77,False,181.03,189.33,15.94,30.5
COST,983.86,0.43,1.03,49.7,-2.7648,985.02,975.23,20.4,62.8,17.23,1062.65,False,,True,True,False,0.5,True,978.37,1009.71,4.71,30.0
KO,75.71,1.37,1.13,46.0,-0.3086,76.28,75.65,21.4,74.8,1.26,81.44,False,,True,True,False,0.17,True,74.7,77.6,1.87,30.0
SHW,315.37,-1.31,0.68,38.5,0.3943,325.07,335.89,35.9,8.7,9.2,377.93,False,,True,False,False,-0.35,False,314.84,329.18,26.06,25.5
PFE,27.04,-1.92,0.67,50.7,-0.0063,27.06,26.66,15.7,2.7,0.63,27.94,True,,False,True,False,0.58,False,27.02,27.99,47.5,25.5
TXN,190.33,-1.59,0.91,40.1,0.1906,196.15,198.33,26.5,27.5,5.79,231.32,False,,True,False,False,-0.88,False,189.33,199.02,8.69,25.5
