Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
NMDC,81.48,4.35,1.91,25786506.0,56.9,0.2206,78.64,78.81,3.62,12.5,81.0,2.81,84.16,True,Morning Star,False,False,True,True,True,0.77,True,True,False,79.85,83.92,2.99,2.0,1.5,HIGH,134.2
TITAN,4246.9,3.65,1.32,1140491.0,57.8,14.1088,4092.61,4102.89,3.77,23.9,94.6,123.94,4378.4,True,,False,False,True,True,False,0.19,False,True,False,4161.96,4374.31,3.0,2.0,1.5,HIGH,107.8
ADANIGREEN,921.0,7.59,3.62,3401680.0,57.2,7.0065,869.43,903.12,5.93,26.2,91.9,39.36,1177.55,False,,False,False,True,False,False,0.12,True,True,False,902.58,948.63,3.0,2.0,1.5,HIGH,105.1
ADANIPOWER,163.39,2.14,3.74,32532753.0,68.1,1.2317,151.52,147.55,7.84,14.1,57.8,6.21,182.7,False,,False,True,True,True,True,1.27,True,True,False,161.05,168.29,3.0,1.43,2.09,GOOD,78.1
DMART,4547.2,4.24,1.67,1077899.0,77.6,74.3435,3992.87,3916.03,13.88,21.1,94.7,140.04,4949.5,False,,False,False,True,True,True,2.01,False,True,True,4456.26,4683.62,3.0,2.0,1.5,GOOD,70.5
WIPRO,197.21,1.18,1.16,18293969.0,48.0,1.7317,195.57,208.76,0.84,34.5,21.7,5.46,266.23,False,,False,True,True,False,True,1.07,True,True,False,196.11,203.13,3.0,0.56,5.38,WEAK,49.6
