Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
TJX,162.0,0.8,0.08,6243120.0,63.3,0.9229,False,156.28,155.81,3.66,23.3,92.8,3.31,165.28,True,,False,False,True,True,False,-0.92,True,True,False,False,159.93,166.86,3.0,1.28,2.35,48,7776.0,MODERATE,62.6
BAC,54.22,0.72,0.12,42434560.0,66.6,0.3754,False,52.02,51.54,4.21,16.5,82.5,1.13,56.93,True,Engulfing,False,False,True,True,False,-0.21,True,True,False,False,53.58,55.84,3.0,1.17,2.56,157,8511.76,MODERATE,57.4
UNH,402.4,0.73,0.12,7209100.0,69.6,-0.8222,False,383.25,359.89,5.0,38.4,88.3,9.81,404.15,True,Engulfing,False,False,True,True,False,-0.59,True,True,False,False,394.99,414.48,3.0,1.84,1.63,13,5231.26,MODERATE,55.6
CVX,190.74,1.83,0.09,8838480.0,55.0,0.3562,False,187.64,187.25,1.65,12.3,88.9,4.21,212.76,False,,False,False,True,True,True,0.74,True,True,False,False,188.5,196.46,3.0,1.17,2.55,44,8392.56,WEAK,52.1
MS,214.93,1.42,0.11,6225150.0,66.9,0.8624,False,204.0,192.89,5.36,36.8,64.2,5.21,219.16,True,,False,False,True,True,True,0.63,True,True,False,False,213.21,221.38,3.0,0.8,3.74,57,12251.29,WEAK,51.6
NOW,114.18,1.54,0.13,38714650.0,55.7,0.8912,False,109.37,105.28,4.4,28.0,88.2,7.49,211.48,False,,False,False,True,True,False,-0.68,True,True,False,False,111.9,117.61,3.0,2.0,1.5,43,4909.85,WEAK,51.0
XOM,153.44,2.35,0.13,15416700.0,53.1,0.0645,True,151.42,151.15,1.33,11.6,86.3,3.99,175.22,False,,False,False,True,True,True,0.82,True,True,False,False,151.11,158.04,3.0,1.52,1.97,42,6444.48,WEAK,48.7
LLY,1179.58,4.26,0.27,3416070.0,73.5,7.8381,False,1065.63,1013.94,10.69,33.5,98.1,36.68,1180.13,True,,False,False,True,True,True,2.44,True,True,True,False,1155.99,1214.97,3.0,2.0,1.5,4,4718.34,WEAK,47.5
AON,328.29,-0.07,0.07,1464300.0,58.7,1.0703,False,320.79,321.58,2.34,11.2,96.0,7.7,379.2,False,,False,False,False,True,False,-0.93,True,True,False,False,323.78,338.14,3.0,1.37,2.18,22,7222.38,WEAK,46.2
MRK,121.87,0.89,0.1,11561690.0,61.5,0.5333,False,117.17,115.95,4.01,19.9,65.1,3.08,124.22,True,,False,False,True,True,False,0.05,True,True,False,False,120.51,125.53,3.0,1.12,2.69,73,8896.51,WEAK,46.2
