Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
IDFCFIRSTB,62.46,-1.23,0.13,34.5,0.2216,66.41,72.57,46.1,20.5,2.29,87.0,False,,False,False,False,-0.4,False,62.31,65.89,22.87,20.5
BERGEPAINT,413.95,-2.7,0.19,39.2,1.607,426.69,454.86,56.1,11.6,12.71,600.97,False,,False,False,False,-1.28,False,412.5,433.01,13.14,20.5
M&M,3088.6,-1.26,0.09,43.4,5.9625,3170.48,3334.27,27.4,61.3,107.25,3839.9,False,,False,False,False,-0.9,False,3062.3,3249.48,6.12,20.5
PAYTM,1041.8,-2.26,0.11,45.6,8.0467,1056.2,1118.47,27.7,25.2,40.47,1381.8,False,,False,False,False,-0.65,False,1036.0,1102.5,10.47,20.5
PETRONET,250.15,0.12,0.26,35.9,-4.8811,274.04,283.14,27.6,27.3,11.62,326.4,False,,True,False,True,1.26,False,248.8,267.58,12.91,20.0
TITAN,3998.9,-1.0,0.14,43.6,-21.5684,4089.77,4104.96,26.4,46.8,117.04,4378.4,False,,True,False,False,-0.97,False,3977.0,4174.46,8.02,20.0
BPCL,284.65,0.04,0.77,28.5,-3.5776,313.86,336.8,42.2,19.2,12.54,391.65,False,,True,False,True,1.92,False,281.35,303.46,5.7,20.0
FEDERALBNK,267.4,-1.31,0.08,45.0,-0.6311,272.02,273.91,34.8,36.0,8.56,302.0,False,,False,True,False,-0.72,False,266.05,280.25,9.52,18.0
SAIL,150.63,-0.71,0.24,47.5,-0.4612,152.39,152.0,23.3,51.4,6.32,168.21,False,,True,True,False,-1.06,False,149.11,160.11,6.24,18.0
RELIANCE,1381.6,-2.23,0.16,43.6,2.2281,1402.86,1422.32,23.4,20.3,31.18,1611.8,False,,False,False,False,-0.86,False,1375.7,1428.37,7.93,15.5
MUTHOOTFIN,3270.4,-1.5,0.17,44.8,9.8143,3333.65,3472.05,23.8,41.6,131.15,4149.5,False,,False,False,False,-1.09,False,3250.0,3467.12,9.64,15.5
JSWSTEEL,1145.8,-0.88,0.12,44.3,-4.0973,1174.25,1188.53,32.4,66.0,36.1,1284.7,False,,True,False,False,-0.52,False,1136.1,1199.94,5.58,15.0
HINDPETRO,342.7,-0.38,0.44,35.6,-1.512,369.02,404.57,30.5,13.8,17.54,508.45,False,,True,False,False,2.47,False,340.3,369.0,10.96,15.0
MGL,943.2,0.44,0.21,31.4,-12.016,1015.47,1066.8,27.5,19.2,41.62,1549.34,False,,True,False,False,0.21,False,939.2,1005.63,15.61,15.0
IGL,148.48,-0.35,0.19,34.2,-0.5813,156.87,165.71,30.1,15.3,5.23,223.11,False,,True,False,False,0.21,False,148.15,156.33,23.79,15.0
HAL,3636.0,-0.91,0.15,30.7,-23.6033,3865.27,4046.9,32.7,37.0,110.7,5105.25,False,,True,False,False,-0.12,False,3619.0,3802.05,9.77,15.0
COLPAL,1908.5,-0.62,0.1,35.4,-13.928,1999.23,2075.11,36.1,57.0,49.23,2688.8,False,,True,False,False,-0.09,False,1895.0,1982.35,5.47,15.0
HDFCLIFE,607.45,-0.89,0.21,30.5,-2.7575,644.82,683.18,44.7,52.0,16.18,820.75,False,,True,False,False,-1.29,False,604.25,631.72,7.58,15.0
BAJAJ.AUTO,8967.0,-0.9,0.14,42.3,-35.559,9229.01,9378.05,28.1,61.9,258.53,10187.0,False,,True,False,False,-0.85,False,8907.0,9354.8,6.46,15.0
MARICO,748.2,-0.74,0.08,45.4,-2.604,756.95,758.86,22.0,59.4,16.18,813.5,False,,True,False,False,-1.29,False,743.0,772.46,4.67,15.0
CIPLA,1235.8,-0.69,0.19,33.6,-5.9825,1282.52,1333.67,43.0,69.4,26.84,1673.0,False,,True,False,False,-1.44,False,1226.5,1276.06,4.33,15.0
ICICIBANK,1253.6,-0.48,0.11,37.8,-1.871,1290.74,1332.69,31.7,41.1,27.85,1488.51,False,,True,False,False,-0.29,False,1248.5,1295.38,8.19,15.0
ITC,293.6,-0.71,0.06,34.9,-0.7321,303.82,318.66,34.6,19.5,6.45,427.21,False,,True,False,False,-0.34,False,293.2,303.28,24.2,15.0
GAIL,138.51,-0.5,0.18,33.3,-1.1563,148.11,155.49,36.0,38.6,4.88,195.53,False,,True,False,False,-0.14,False,137.75,145.83,9.63,15.0
