Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
APOLLOHOSP,8524.0,1.98,1.94,421729.0,69.2,5.1144,True,8198.76,7964.42,3.97,17.9,91.6,167.99,8538.5,True,,False,False,True,True,True,0.74,True,True,False,False,8365.5,8775.99,2.96,1.86,1.59,31,264244.0,GOOD,73.9
CANBK,137.51,4.25,1.84,31317135.0,57.8,0.8992,False,132.54,134.61,3.75,12.1,95.5,4.01,162.89,False,Marubozu,True,False,True,True,False,-0.39,True,True,False,False,134.76,141.64,3.0,2.0,1.5,1818,249993.17,GOOD,73.7
UNIONBANK,170.44,3.18,1.15,14596517.0,55.6,0.9846,False,166.41,169.57,2.42,12.6,90.8,4.77,205.49,False,Morning Star,False,False,True,True,False,0.28,True,True,False,False,167.03,175.55,3.0,2.0,1.5,1466,249865.04,MODERATE,65.8
PNB,109.65,3.73,2.21,17279142.0,59.0,0.7084,False,105.97,108.25,3.47,16.9,91.7,2.65,135.15,False,,False,False,True,False,False,0.27,True,True,False,False,107.46,112.94,3.0,2.0,1.5,2283,250330.95,MODERATE,60.6
DIVISLAB,6753.0,3.56,2.91,313321.0,56.3,-31.3168,False,6658.59,6544.42,1.42,23.0,85.5,156.38,7039.45,True,,False,False,True,True,False,0.21,True,True,False,False,6617.94,6955.59,3.0,2.0,1.5,37,249861.0,MODERATE,60.1
INDIANB,874.95,3.79,0.67,5416972.0,59.3,6.8633,False,841.61,857.67,3.96,20.5,90.1,24.82,1000.9,False,,False,False,True,True,True,0.82,True,True,False,False,857.45,901.2,3.0,2.0,1.5,285,249360.75,MODERATE,59.3
IDFCFIRSTB,73.69,3.16,1.37,30967645.0,68.3,0.2312,False,70.76,69.99,4.14,21.8,66.9,1.74,87.0,False,,False,False,True,True,True,1.26,True,True,False,False,72.22,75.9,3.0,1.99,1.5,3401,250619.7,MODERATE,58.0
BANDHANBNK,206.94,1.99,1.11,9032366.0,61.9,-0.4519,False,201.43,191.08,2.73,27.6,61.8,5.82,212.66,True,,False,False,True,True,False,0.5,True,True,False,False,203.71,213.15,3.0,1.56,1.92,1547,320136.18,WEAK,54.2
BANKBARODA,273.75,5.59,2.48,13157347.0,63.8,1.4008,False,261.01,263.11,4.88,13.9,96.7,6.98,315.3,False,Marubozu,True,False,True,True,False,0.44,True,True,False,False,268.27,281.96,3.0,2.0,1.5,912,249660.0,WEAK,53.4
AXISBANK,1292.4,1.92,1.04,7231554.0,54.6,1.2506,True,1275.36,1281.48,1.34,14.3,77.7,26.14,1418.3,False,,False,False,True,True,True,0.62,True,True,False,False,1271.5,1331.17,3.0,1.62,1.86,239,308883.61,WEAK,52.0
