Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
PLD,145.03,-0.05,0.47,3871250.0,74.3,1.3449,137.33,134.79,5.61,24.8,90.9,2.99,145.44,True,Hammer,False,False,True,True,False,-0.28,True,True,False,143.34,149.38,3.0,1.17,2.57,HIGH,91.5
BAC,53.95,0.07,0.87,36121420.0,68.5,0.4856,51.56,50.99,4.64,28.2,100.0,1.22,57.23,False,,False,False,True,True,False,-0.76,True,True,False,53.17,55.57,3.0,1.45,2.08,HIGH,86.0
JPM,316.99,2.16,0.72,8718540.0,67.3,1.9424,303.07,300.49,4.59,21.3,97.9,6.84,334.16,False,,False,False,True,True,False,0.18,True,True,False,310.65,326.5,3.0,2.0,1.5,HIGH,81.4
PH,996.44,0.77,0.78,515670.0,62.1,7.9918,953.64,942.3,4.49,21.3,95.6,29.13,1034.96,True,,False,False,True,True,False,-0.89,True,True,False,977.28,1026.33,3.0,1.92,1.56,HIGH,81.4
LOW,253.29,0.62,1.64,2348440.0,58.7,2.5848,243.82,247.86,3.88,24.1,79.6,7.04,293.06,False,,False,False,True,True,False,-0.37,False,True,False,248.22,260.89,3.0,2.0,1.5,HIGH,80.5
CAT,798.4,0.47,0.63,2174050.0,65.3,5.6328,755.51,723.95,5.68,17.0,90.2,24.2,801.77,True,,False,False,True,True,False,-0.47,True,True,False,787.03,822.35,3.0,1.42,2.11,GOOD,76.8
BA,225.08,0.76,0.93,5342750.0,59.8,2.5679,215.85,217.25,4.28,22.5,94.4,6.79,254.35,False,,False,False,True,True,False,-0.51,True,True,False,220.58,231.83,3.0,2.0,1.5,GOOD,72.2
ETN,407.57,0.33,1.11,2050510.0,66.7,3.0743,384.59,371.38,5.98,16.3,63.6,12.3,410.91,True,,False,False,True,True,False,0.19,True,True,False,403.92,419.8,3.0,0.9,3.35,GOOD,72.2
SHW,343.93,-0.47,0.83,1577270.0,60.7,3.19,330.88,333.49,3.94,20.3,79.6,9.41,377.93,False,,False,False,False,True,False,-0.52,True,True,False,340.06,354.25,3.0,1.13,2.67,GOOD,71.3
MCO,459.91,1.0,1.37,880610.0,59.5,3.3795,443.81,451.33,3.63,16.6,86.7,12.13,545.7,False,,False,False,True,False,False,-0.37,True,True,False,452.66,473.71,3.0,1.58,1.9,MODERATE,68.5
DHR,195.5,0.39,1.57,3358750.0,51.2,1.2498,193.86,199.39,0.85,22.6,88.2,4.77,242.28,False,Morning Star,False,False,True,False,False,-0.79,False,True,False,192.74,201.37,3.0,1.41,2.13,MODERATE,68.5
HD,350.99,0.46,0.89,3569980.0,58.4,3.6119,338.93,346.25,3.56,25.7,97.6,9.02,421.19,False,,False,False,True,False,False,-0.3,False,True,False,343.97,361.52,3.0,2.0,1.5,MODERATE,64.9
GS,941.74,1.71,0.72,2283090.0,68.5,8.4775,883.49,872.73,6.59,16.6,99.7,26.37,979.54,True,Marubozu,True,False,True,True,False,-0.25,True,True,True,922.98,969.99,3.0,1.99,1.51,MODERATE,64.7
UNP,252.18,0.41,0.76,2700640.0,59.5,1.0049,248.15,246.52,1.62,21.2,70.6,4.57,268.14,False,,False,False,True,True,False,0.1,True,True,False,248.82,259.04,2.72,1.33,2.04,MODERATE,63.0
TXN,233.7,1.69,1.12,5449460.0,76.2,3.6758,211.13,204.57,10.69,25.2,93.2,5.98,233.97,True,Hammer,False,False,True,True,True,1.2,False,True,True,230.02,240.71,3.0,1.57,1.9,MODERATE,62.8
ZTS,122.72,0.28,1.24,3011830.0,57.3,0.7742,119.67,120.96,2.55,17.0,79.4,3.1,170.33,False,,False,False,True,False,False,-0.68,False,True,False,120.54,126.4,3.0,1.78,1.69,MODERATE,59.3
UBER,77.49,0.48,0.83,13817620.0,61.4,0.8051,74.0,74.96,4.72,16.0,89.3,2.45,101.99,False,Morning Star,False,False,True,False,False,-0.58,False,True,False,75.94,79.81,2.99,2.0,1.5,MODERATE,59.3
SPGI,442.74,0.04,0.82,1774220.0,57.2,2.9152,430.42,439.32,2.86,18.6,79.4,11.28,575.57,False,,False,False,True,False,False,-0.04,True,True,False,439.11,456.02,3.0,0.82,3.66,MODERATE,59.3
AAPL,273.05,1.04,0.8,43108060.0,66.5,2.1079,260.58,260.02,4.79,15.4,69.3,5.96,288.35,False,,False,False,True,True,False,0.04,True,True,False,270.29,281.24,3.0,1.01,2.97,MODERATE,58.4
KLAC,1805.32,0.77,0.78,800750.0,69.7,19.8742,1650.9,1547.03,9.35,16.0,96.1,64.58,1806.74,True,Hammer,False,False,True,True,False,0.23,True,True,True,1770.0,1859.48,3.0,1.96,1.53,MODERATE,57.6
INTU,404.83,2.94,0.71,3946290.0,48.7,1.1405,401.62,434.46,0.8,24.5,99.7,19.33,808.22,False,Morning Star,False,False,True,False,False,0.19,True,True,False,396.73,416.97,3.0,2.0,1.5,MODERATE,57.5
WMT,127.92,0.33,1.15,16476160.0,57.4,0.2417,125.37,123.83,2.03,10.6,27.7,2.83,134.41,True,,False,True,True,True,False,0.2,False,True,False,127.33,131.76,3.0,0.46,6.51,MODERATE,57.5
NVDA,202.06,0.19,0.82,143886960.0,71.6,2.9073,187.87,184.57,7.55,21.6,97.5,5.08,212.17,True,,False,False,True,True,False,-0.84,True,True,True,198.02,208.12,3.0,2.0,1.5,MODERATE,57.0
DE,594.52,0.69,0.58,1213420.0,53.8,0.8145,587.36,577.17,1.22,17.0,86.2,15.76,672.22,False,,False,False,True,True,False,-0.08,True,True,False,587.55,612.36,3.0,1.17,2.56,MODERATE,55.2
PANW,169.56,1.02,0.52,8955180.0,56.2,0.792,163.89,165.26,3.46,12.0,81.6,7.04,223.61,False,,False,False,True,False,False,-0.5,True,True,False,166.17,174.65,3.0,2.0,1.5,WEAK,54.7
ORCL,177.58,1.44,0.63,35475750.0,68.6,4.4156,157.0,158.34,13.11,20.6,95.8,8.08,343.01,False,Hammer,False,False,True,True,True,1.0,False,True,True,174.03,182.91,3.0,2.0,1.5,WEAK,54.4
TMO,526.02,-0.11,0.85,1683670.0,60.2,5.2095,506.65,513.11,3.82,22.1,63.5,14.04,643.35,False,,False,False,True,True,False,-0.72,False,True,False,521.14,541.8,3.0,0.93,3.23,WEAK,53.8
MS,190.7,1.0,0.55,6782770.0,72.3,2.4994,176.61,172.33,7.98,28.7,59.9,5.55,194.59,True,,False,False,True,True,False,0.05,True,True,True,188.46,196.42,3.0,1.17,2.55,WEAK,53.8
AXP,329.87,-0.55,0.86,2629340.0,63.8,3.6603,316.36,319.96,4.27,27.3,6.7,8.27,385.41,False,,False,True,False,True,False,-0.0,True,True,False,329.53,339.77,3.0,0.1,29.12,WEAK,53.6
LIN,498.15,1.2,0.89,1920290.0,52.7,-0.9809,496.65,486.45,0.3,11.8,63.7,9.76,509.23,True,,False,False,True,True,False,0.36,True,True,False,492.52,512.79,2.94,1.13,2.6,WEAK,51.1
QCOM,137.52,0.97,0.85,9086080.0,63.7,1.6523,131.72,136.4,4.4,23.4,59.5,3.38,203.6,False,,False,False,True,False,False,0.14,True,True,False,136.08,141.65,3.0,1.05,2.87,WEAK,51.1
AMAT,391.62,-1.34,0.7,5358390.0,60.4,2.4669,376.04,355.82,4.14,17.1,15.3,14.58,407.29,True,,False,True,False,True,False,0.2,True,True,False,390.38,403.37,3.0,0.32,9.48,WEAK,49.7
BLK,1048.42,-0.35,0.72,885710.0,61.2,11.1238,1007.46,1014.08,4.07,20.7,22.8,30.39,1207.31,False,,False,True,False,True,False,-0.33,True,True,False,1045.0,1079.87,3.0,0.33,9.2,WEAK,49.7
CMCSA,29.73,0.34,0.89,23772410.0,61.1,0.2611,28.75,28.97,3.39,20.9,28.1,0.69,32.98,False,,False,True,True,True,False,-0.1,False,True,False,29.57,30.62,2.99,0.54,5.56,WEAK,49.7
CI,279.92,0.46,0.83,1261190.0,57.5,1.201,273.11,273.42,2.49,18.4,63.3,6.28,342.75,False,,False,False,True,True,False,0.41,False,True,False,278.13,288.32,3.0,0.64,4.69,WEAK,49.2
NOW,99.72,3.17,0.76,26408280.0,48.4,0.5911,98.83,108.11,0.9,29.0,75.4,5.37,211.48,False,,False,False,True,False,True,0.81,True,True,False,97.73,102.71,3.0,2.0,1.5,WEAK,47.8
CB,329.99,-0.25,0.91,1448830.0,53.7,0.1814,328.15,325.02,0.56,11.3,22.4,5.74,344.65,True,,False,True,False,True,False,0.31,True,True,False,328.55,338.6,2.61,0.44,5.98,WEAK,47.7
ADI,381.05,2.58,1.34,2934440.0,78.1,5.1649,342.29,328.4,11.32,24.1,72.0,10.48,385.46,True,,False,False,True,True,True,0.7,True,True,True,373.43,392.48,3.0,2.0,1.5,WEAK,47.3
GE,303.6,-0.17,0.81,5236810.0,50.0,1.9749,302.84,306.01,0.25,21.7,73.9,10.89,347.97,False,,False,False,True,True,False,-0.08,True,True,False,298.41,312.71,3.0,1.71,1.76,WEAK,44.6
AON,331.95,0.05,0.58,1374410.0,54.5,1.4461,326.24,328.16,1.75,14.9,30.2,8.2,380.2,False,,False,False,True,False,False,-0.11,True,True,False,330.91,341.91,3.0,0.31,9.58,WEAK,44.2
AMZN,248.28,-0.91,0.76,47919940.0,73.1,3.6781,230.16,222.82,7.87,27.3,60.5,6.49,258.6,True,,False,False,False,True,False,-0.47,False,True,True,245.37,255.73,3.0,1.17,2.56,WEAK,44.1
