Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
ADANIGREEN,1235.8,1.78,2.96,4383880.0,83.1,23.156,1066.62,992.73,15.86,39.3,84.1,50.14,1252.0,True,,False,False,True,True,True,0.65,False,False,False,1211.08,1272.87,3.0,2.0,1.5,MODERATE,59.2
BANDHANBNK,174.67,0.44,1.4,7716720.0,59.2,1.7672,168.31,164.88,3.78,18.8,93.5,6.53,190.74,False,Hammer,False,False,True,True,False,-0.05,False,False,False,171.18,179.91,3.0,2.0,1.5,MODERATE,57.3
MARICO,783.3,0.56,1.27,1989932.0,61.2,4.1713,761.0,758.86,2.93,14.0,78.5,17.07,813.5,True,,False,False,True,True,True,0.64,False,False,False,769.4,806.8,3.0,1.77,1.69,MODERATE,56.0
CIPLA,1295.0,-0.83,2.29,1937448.0,60.6,12.8649,1248.83,1284.53,3.7,27.5,82.1,29.61,1673.0,False,,False,False,True,False,False,-0.83,False,False,False,1269.1,1333.85,3.0,2.0,1.5,WEAK,54.1
DRREDDY,1317.1,-1.04,2.25,2505082.0,61.9,11.3081,1251.86,1255.8,5.21,27.0,43.2,39.67,1371.0,True,,False,True,True,True,False,-2.85,False,False,False,1293.0,1356.61,3.0,1.83,1.64,WEAK,50.9
TATAPOWER,435.0,1.09,0.56,12155749.0,71.8,2.9263,413.21,397.29,5.27,21.1,84.1,11.4,440.8,True,,False,False,True,True,False,0.16,False,False,False,426.3,448.05,3.0,2.0,1.5,WEAK,49.6
NMDC,89.29,2.27,1.07,32463036.0,66.8,0.4886,85.0,82.12,5.05,17.2,78.7,2.6,90.17,True,,False,False,True,True,False,0.22,False,False,False,87.5,91.97,3.0,2.0,1.5,WEAK,46.4
AXISBANK,1365.9,-0.27,0.52,6953939.0,61.5,9.9862,1323.08,1302.93,3.24,23.1,63.6,33.66,1418.3,True,,False,False,True,True,False,-0.04,False,False,False,1350.0,1406.88,3.0,1.16,2.58,WEAK,43.8
POWERGRID,316.4,-0.86,0.48,20673030.0,65.3,1.5083,308.3,298.58,2.63,24.4,55.9,7.21,323.05,True,,False,False,True,True,False,-0.99,False,False,False,314.5,325.89,3.0,0.6,4.99,WEAK,43.8
SBIN,1101.1,0.63,0.76,18219797.0,56.0,9.0016,1078.01,1077.5,2.14,23.0,69.3,28.59,1234.7,False,Engulfing,False,False,True,True,False,-0.27,False,False,False,1090.05,1134.13,3.0,1.0,2.99,WEAK,42.6
TMPV,354.35,1.1,1.02,9568926.0,57.8,2.9588,343.58,344.34,3.14,25.1,62.6,10.87,419.0,False,,False,False,True,True,False,0.14,False,False,False,350.25,364.98,3.0,1.16,2.59,WEAK,40.6
NESTLEIND,1421.3,0.77,2.03,1688196.0,79.3,24.2911,1291.61,1267.08,10.04,36.5,56.0,33.87,1430.9,True,,False,False,True,True,True,0.67,False,False,True,1409.1,1463.94,3.0,0.86,3.5,WEAK,37.4
FEDERALBNK,293.0,-0.81,0.59,12231407.0,59.2,1.7835,285.5,279.86,2.63,23.0,24.8,7.89,302.0,True,,False,True,True,True,False,0.2,False,False,False,291.25,301.79,3.0,0.6,5.02,WEAK,37.3
HDFCAMC,2735.0,0.99,0.47,2314779.0,59.6,30.6788,2611.63,2576.09,4.72,25.6,59.2,91.84,2967.25,False,,False,True,True,True,False,-0.3,False,False,False,2692.9,2817.05,3.0,1.54,1.95,WEAK,37.3
ADANIPORTS,1585.1,-1.11,0.54,4233031.0,65.7,18.5396,1503.54,1471.03,5.42,23.1,45.9,46.67,1618.8,True,,False,True,True,True,False,0.57,False,False,False,1556.5,1632.65,3.0,1.8,1.66,WEAK,37.3
SAIL,178.46,1.14,0.79,23167139.0,70.9,1.4912,167.03,159.97,6.84,27.8,80.1,5.76,179.07,True,,False,False,True,True,False,0.03,False,False,True,176.0,183.81,3.0,1.38,2.17,WEAK,37.0
COALINDIA,456.0,1.19,0.81,20350494.0,57.8,0.3255,445.86,439.57,2.27,15.7,45.2,11.34,476.0,True,,False,True,True,True,False,0.47,False,False,False,451.05,469.68,3.0,1.09,2.76,WEAK,37.0
BRITANNIA,5730.5,1.04,1.23,381770.0,52.2,33.2234,5672.3,5749.3,1.03,20.2,73.9,148.76,6336.0,False,,False,False,True,False,True,0.63,False,False,False,5665.5,5902.41,3.0,1.13,2.64,WEAK,35.5
HINDALCO,1048.35,0.67,0.74,6120827.0,68.2,8.4423,988.7,953.05,6.03,23.2,78.6,28.98,1054.0,True,,False,False,True,True,False,-0.99,False,False,True,1027.55,1079.8,3.0,1.98,1.51,WEAK,34.7
GAIL,165.61,0.39,0.55,16879326.0,68.0,2.2506,155.68,155.3,6.38,25.3,76.6,4.5,195.53,False,,False,False,True,True,True,0.61,False,False,True,163.35,170.58,3.0,1.36,2.2,WEAK,34.7
APOLLOHOSP,7732.5,-0.62,0.81,502751.0,57.9,31.65,7586.9,7504.54,1.92,11.2,29.9,173.37,8088.76,True,,False,True,True,True,False,0.42,False,False,False,7684.5,7964.48,3.0,0.62,4.83,WEAK,34.5
CONCOR,502.8,-0.45,0.57,1785185.0,60.8,4.9525,485.08,482.4,3.65,26.3,47.8,14.01,641.23,False,,False,True,True,True,False,0.0,False,False,False,499.05,517.88,3.0,0.75,4.02,WEAK,34.5
JSWSTEEL,1255.7,-0.1,0.8,2481642.0,60.1,9.76,1218.23,1201.79,3.08,19.9,42.8,32.26,1296.4,True,,False,True,True,True,False,0.56,False,False,False,1246.5,1293.37,3.0,0.73,4.09,WEAK,34.5
