Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
NHPC,81.38,0.99,1.24,15892719.0,68.9,0.5668,77.01,76.54,5.67,14.0,63.5,2.18,90.16,False,,False,False,True,True,True,0.65,True,False,False,79.92,83.82,3.0,1.79,1.67,MODERATE,57.8
ADANIPORTS,1549.8,2.51,2.02,3695164.0,65.3,23.3309,1433.98,1439.43,8.08,17.2,86.9,51.07,1584.0,True,,False,False,True,True,True,0.87,True,False,True,1518.8,1596.29,3.0,2.0,1.5,WEAK,52.8
RECLTD,364.2,3.28,2.72,7990870.0,64.3,4.8701,338.94,340.84,7.45,15.9,54.8,12.27,425.03,False,,False,True,True,True,True,0.67,True,False,False,356.92,375.13,3.0,2.0,1.5,WEAK,52.2
CONCOR,502.25,2.67,1.54,1564005.0,64.9,8.0543,468.3,476.17,7.25,23.9,81.5,15.31,641.23,False,,False,False,True,True,True,1.56,True,False,True,492.2,517.32,3.0,2.0,1.5,WEAK,51.8
WIPRO,210.26,0.24,1.5,24205869.0,61.9,2.8748,200.82,208.02,4.7,28.5,43.0,5.65,266.23,False,,False,True,True,False,True,1.54,True,False,False,208.21,216.57,3.0,0.97,3.08,WEAK,50.4
HINDALCO,1039.9,2.81,1.29,8503980.0,70.1,15.0747,950.18,930.89,9.44,18.8,75.4,33.33,1048.7,True,,False,False,True,True,True,0.54,True,False,True,1019.1,1071.1,3.0,2.0,1.5,WEAK,50.2
TATAPOWER,426.6,1.13,1.46,9631743.0,72.7,3.5393,396.68,387.56,7.54,15.2,77.3,12.56,429.65,True,,False,False,True,True,True,1.32,True,False,True,418.07,439.4,3.0,2.0,1.5,WEAK,49.2
HAL,4363.4,2.93,1.39,1623800.0,70.4,83.4031,3954.94,4012.91,10.33,28.8,77.2,128.69,5105.25,False,,False,False,True,True,True,1.08,True,False,True,4280.2,4494.3,3.0,1.91,1.57,WEAK,49.2
POWERGRID,312.25,-0.06,1.37,15693059.0,66.8,1.3702,299.78,293.13,4.16,16.1,26.9,8.2,317.0,True,,False,True,True,True,False,0.82,True,False,False,310.5,321.62,3.0,0.56,5.35,WEAK,49.1
JSWSTEEL,1214.9,-0.3,1.21,2216344.0,56.5,11.1636,1182.45,1185.53,2.74,21.9,11.4,34.06,1284.7,False,,False,True,False,True,False,0.21,True,False,False,1211.3,1251.35,3.0,0.3,10.12,WEAK,49.1
PFC,458.9,3.18,2.29,10026797.0,70.0,5.3571,418.8,405.17,9.58,15.0,60.5,16.08,467.0,True,,False,False,True,True,True,0.69,True,False,True,449.72,472.67,3.0,2.0,1.5,WEAK,48.2
BAJAJ.AUTO,9825.0,-0.41,1.1,435508.0,61.7,130.3269,9380.15,9377.97,4.74,24.0,45.8,263.4,10187.0,True,,False,True,False,True,False,0.06,False,False,False,9746.0,10119.75,3.0,0.8,3.73,WEAK,46.0
HCLTECH,1450.2,-0.08,1.41,3715011.0,57.8,13.4719,1412.75,1441.77,2.65,24.1,44.9,42.09,1780.1,False,,False,True,True,False,False,0.6,True,False,False,1435.1,1493.71,3.0,1.04,2.88,WEAK,44.1
LT,4119.8,1.07,1.2,4227294.0,63.0,74.0921,3828.76,3862.18,7.6,21.1,51.3,135.2,4440.0,False,,False,False,True,True,True,1.27,True,False,True,4089.0,4243.39,3.0,0.75,4.01,WEAK,43.0
NMDC,87.16,-0.01,1.53,26370244.0,68.3,1.012,81.97,80.33,6.33,15.2,46.6,2.67,88.66,True,,False,True,True,True,False,0.49,True,False,True,85.85,89.77,2.99,1.5,1.99,WEAK,40.9
