Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
AAPL,266.43,2.94,1.25,39747610.0,62.3,1.5582,257.55,258.88,3.45,15.3,98.5,5.9,288.35,False,Marubozu,True,False,True,True,False,-0.26,True,True,False,261.1,274.42,3.0,2.0,1.5,HIGH,105.5
PLD,139.77,1.02,1.31,3616800.0,65.9,0.9621,134.92,133.6,3.59,20.0,94.6,2.9,142.8,True,,False,False,True,True,False,-0.42,False,True,False,137.49,143.96,3.0,1.63,1.84,HIGH,93.5
ADI,347.94,-0.19,0.83,2927590.0,64.9,3.746,332.7,323.21,4.58,22.3,85.6,9.42,362.07,True,,False,False,False,True,False,-0.46,True,True,False,341.32,358.38,3.0,1.9,1.58,HIGH,82.5
ICE,165.07,1.87,0.69,2902430.0,56.3,0.5507,161.6,161.2,2.15,16.5,79.0,3.92,187.65,False,,False,False,True,True,True,0.71,True,True,False,162.33,170.02,3.0,1.66,1.81,GOOD,77.5
SCHW,100.27,1.92,1.07,10217170.0,63.9,0.7501,95.58,95.81,4.9,16.3,70.7,2.51,107.14,False,,False,False,True,True,True,1.04,True,True,False,99.09,103.28,3.0,1.18,2.55,GOOD,76.5
V,315.91,1.46,0.79,6148440.0,59.4,2.0856,307.24,312.7,2.82,21.6,84.3,6.38,373.34,False,,False,False,True,False,True,0.52,True,True,False,311.52,325.39,3.0,1.39,2.16,GOOD,74.5
AVGO,396.72,4.19,1.24,23848870.0,77.0,9.1864,343.7,335.2,15.43,26.0,96.9,13.01,412.95,True,,False,False,True,True,True,2.39,True,True,True,388.79,408.62,3.0,2.0,1.5,GOOD,71.0
HON,232.19,-0.45,1.1,3188220.0,52.2,0.9706,230.85,228.91,0.58,20.4,81.7,4.89,248.18,False,,False,False,False,True,False,-0.14,False,True,False,228.93,239.16,3.0,1.4,2.14,GOOD,70.0
JPM,305.93,-1.67,1.11,8890530.0,58.3,2.4243,299.71,298.96,2.07,21.0,16.7,7.15,334.16,False,,False,True,False,True,False,0.91,True,True,False,304.26,315.11,3.0,0.55,5.5,MODERATE,66.7
AMD,258.12,1.2,0.75,32650220.0,74.8,5.337,225.65,217.04,14.39,23.5,99.1,9.61,267.08,True,,False,False,True,True,False,-0.04,True,True,True,252.96,265.86,3.0,2.0,1.5,MODERATE,65.5
GOOGL,337.12,1.26,0.93,26640400.0,71.3,5.3372,309.88,307.9,8.79,25.8,94.5,8.51,348.75,True,,False,False,True,True,False,-0.01,True,True,True,330.9,347.23,3.0,1.85,1.63,MODERATE,65.5
LRCX,265.16,-2.66,1.3,8725730.0,64.8,5.552,240.18,227.76,10.4,21.2,77.4,12.22,273.5,True,,False,False,False,True,False,-1.99,True,True,True,259.86,273.11,3.0,2.0,1.5,MODERATE,64.8
UBER,77.28,5.99,1.51,13043680.0,61.7,0.5169,72.92,74.69,5.98,14.3,84.3,2.57,101.99,False,,False,False,True,False,True,1.3,True,True,False,75.73,79.6,3.0,2.01,1.5,MODERATE,64.7
AXP,329.06,0.64,0.98,2598830.0,66.0,4.4587,311.84,318.79,5.52,25.3,35.3,8.25,385.41,False,,False,True,False,True,True,0.59,True,True,False,327.24,338.93,3.0,0.55,5.42,MODERATE,62.5
CSCO,82.36,-0.3,0.83,18152530.0,58.3,0.3223,80.61,79.25,2.17,13.6,83.1,2.05,87.71,False,,False,False,False,True,False,-0.1,False,True,False,80.88,84.83,3.0,1.8,1.67,MODERATE,62.5
BLK,1048.6,-0.57,1.29,778920.0,64.4,13.7849,995.15,1010.5,5.37,23.1,27.8,29.5,1207.31,False,,False,True,False,True,False,-0.07,True,True,False,1043.45,1080.06,3.0,0.49,6.11,MODERATE,62.5
BAC,54.32,1.82,1.94,32825680.0,73.5,0.7141,50.77,50.63,6.99,25.6,36.1,1.28,57.23,False,,False,True,True,True,True,1.69,True,True,True,53.71,55.95,3.0,1.12,2.67,MODERATE,61.6
KLAC,1748.11,-2.66,1.47,793600.0,66.9,28.261,1605.86,1517.56,8.86,16.9,75.3,68.7,1798.0,True,,False,False,False,True,False,-1.67,True,True,True,1713.15,1800.55,3.0,2.0,1.5,MODERATE,61.2
