Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
T,28.99,0.73,1.0,61.4,0.0426,28.34,27.47,22.0,100.0,0.62,29.44,True,Hammer,True,True,True,0.52,True,28.53,29.92,2.02,101.5
REGN,772.64,3.12,1.02,55.1,1.6377,755.32,756.95,13.0,91.2,20.67,820.12,False,Morning Star,True,True,True,1.09,False,755.8,803.65,1.84,96.0
GS,845.99,4.75,1.32,51.8,5.1952,831.28,855.19,23.4,93.5,28.48,979.54,False,Morning Star,True,True,True,2.02,True,817.51,888.71,1.5,93.5
NFLX,96.15,3.42,1.41,61.0,-0.3176,92.83,91.52,25.0,96.6,2.8,134.12,False,Morning Star,True,True,False,0.06,True,93.35,100.35,1.5,90.0
TJX,159.7,2.51,0.97,56.8,0.0641,156.98,155.87,13.0,82.1,3.25,162.68,True,,True,True,True,0.99,False,156.82,164.58,1.69,82.0
JPM,294.16,3.66,1.11,51.4,0.9312,291.12,297.71,25.7,91.0,7.41,335.87,False,Morning Star,True,False,True,1.66,True,286.75,305.27,1.5,80.5
BMY,60.65,1.54,0.76,57.5,0.0529,59.3,58.32,16.5,60.3,1.34,62.89,True,,True,True,True,0.79,False,59.92,62.66,2.75,73.0
WMT,124.28,0.63,0.95,52.4,0.0408,123.4,122.34,13.6,66.7,2.73,134.41,False,Engulfing,True,True,False,-0.06,True,122.84,128.38,2.85,70.5
COST,996.43,-0.02,1.54,55.3,-0.1475,987.11,976.87,17.8,46.5,17.94,1062.65,False,,False,True,False,0.04,True,985.85,1023.33,2.54,70.0
BAC,48.75,3.22,1.18,49.7,0.2627,48.34,50.0,29.3,98.6,1.28,57.23,False,Morning Star,True,False,True,0.95,True,47.47,50.67,1.5,70.0
MRK,120.29,1.85,0.96,60.4,0.3822,117.36,114.79,15.4,60.8,2.78,124.22,True,,True,True,True,0.79,False,118.77,124.46,2.74,68.5
PFE,28.08,1.12,1.01,61.2,0.069,27.22,26.75,16.4,55.8,0.64,28.31,True,,True,True,True,0.79,False,27.79,29.03,3.28,68.5
CVX,206.9,-1.81,1.11,69.0,0.3552,200.07,187.85,46.4,44.3,4.71,214.71,True,,False,True,False,0.09,False,202.19,213.97,1.5,68.5
JNJ,244.44,0.8,0.93,61.0,0.0043,240.15,234.6,17.5,66.8,4.02,251.71,True,,True,True,False,0.21,False,242.65,250.46,3.36,68.0
SPGI,425.34,1.86,0.91,47.8,0.7474,424.63,444.52,32.9,84.1,11.86,575.57,False,Hammer,True,False,True,1.23,True,417.01,443.14,2.14,67.5
KLAC,1472.41,6.5,1.05,50.5,-5.6268,1469.13,1443.09,16.1,94.8,72.39,1691.15,False,,True,True,True,2.5,True,1400.02,1581.0,1.5,65.5
SO,96.52,-0.42,1.3,55.7,-0.2419,95.7,93.89,20.5,69.0,1.7,99.58,True,,False,True,False,0.0,False,95.25,99.07,2.01,63.0
WFC,79.61,3.66,1.03,48.3,0.5718,79.2,82.62,27.0,94.3,2.35,97.28,False,,True,False,True,1.34,True,77.45,83.14,1.63,63.0
AMD,203.43,3.77,1.21,49.6,0.7559,203.13,207.66,10.9,92.5,9.99,267.08,False,,True,False,True,1.03,True,196.41,218.41,2.13,63.0
TXN,194.14,4.14,1.1,46.9,0.3341,195.12,197.71,27.2,93.1,6.09,231.32,False,,True,True,True,2.07,False,188.47,203.28,1.61,61.0
V,302.24,0.9,1.25,41.7,0.0353,306.52,315.57,28.4,83.7,6.56,373.34,False,,True,False,True,0.69,True,296.59,312.08,1.74,61.0
IBM,242.39,2.17,0.91,43.8,0.2995,246.44,259.52,21.9,92.9,7.96,323.06,False,Morning Star,True,False,True,1.27,True,236.38,254.34,1.99,60.5
UNP,242.62,1.42,1.42,45.9,-0.2386,243.82,244.64,38.3,80.2,4.98,268.14,False,,True,True,True,0.65,True,238.13,250.09,1.66,59.0
MO,65.99,-1.54,0.89,54.5,0.0489,65.32,64.2,19.6,13.0,1.35,69.35,True,,False,True,False,0.01,True,65.8,68.01,10.63,58.0
DUK,130.94,-0.58,1.2,57.0,-0.27,129.64,126.96,19.7,40.9,2.27,134.49,True,,False,True,False,0.72,False,129.75,134.35,2.87,58.0
VZ,50.2,-0.2,1.02,54.8,-0.2584,50.12,48.0,31.7,56.8,0.98,51.68,True,,False,True,False,0.5,True,49.74,51.67,3.2,57.5
META,572.13,6.67,1.8,40.2,-6.7703,598.71,626.69,27.1,94.2,20.99,794.38,False,Morning Star,True,False,True,2.54,True,551.14,603.61,1.5,57.0
CAT,708.46,6.15,1.21,51.1,-1.4264,703.83,692.51,17.7,98.8,26.09,789.81,False,,True,True,True,1.88,True,682.37,747.6,1.5,56.5
SCHW,93.98,0.99,1.25,47.0,0.1439,94.34,95.75,18.4,92.3,2.14,107.14,False,,True,False,True,1.01,True,92.17,97.18,1.77,55.5
PH,895.24,3.92,1.25,42.9,-2.1997,915.96,928.35,30.5,98.4,28.54,1034.96,False,,True,False,True,1.83,True,868.32,938.06,1.59,55.0
LIN,495.76,-0.7,0.94,56.3,-0.2412,489.7,477.58,15.8,46.0,10.29,508.94,True,,False,True,False,-0.62,True,491.91,511.2,4.01,55.0
BA,199.03,5.19,1.35,40.5,-0.5972,205.77,216.38,37.2,96.7,6.93,254.35,False,,True,False,True,1.01,True,192.1,209.42,1.5,55.0
MA,499.66,1.15,1.28,45.8,0.5681,502.89,517.41,24.0,83.8,11.72,600.08,False,,True,False,True,1.21,True,490.58,517.24,1.94,54.5
DHR,189.6,3.11,1.08,42.3,0.5006,192.24,202.98,43.3,83.2,5.21,242.28,False,Morning Star,True,False,True,1.57,False,185.38,197.41,1.85,52.5
ADI,318.14,4.96,1.16,49.9,-0.368,317.03,314.92,29.9,90.8,10.26,362.07,False,,True,True,True,2.07,True,307.88,333.53,1.5,52.0
ELV,292.75,2.8,1.62,44.5,1.8215,295.21,310.85,30.4,73.5,9.57,449.16,False,,True,False,True,0.83,False,286.04,307.11,2.14,50.5
ABBV,217.49,2.05,0.97,50.1,0.095,215.75,219.98,23.5,61.1,5.64,241.12,False,,True,False,True,0.91,False,214.85,225.96,3.21,50.0
CI,266.75,3.36,0.73,47.1,0.1456,268.12,272.64,33.2,97.2,7.38,342.75,False,,True,False,True,0.55,False,259.37,277.81,1.5,50.0
BLK,961.71,2.96,0.85,43.3,2.5691,975.53,1015.22,30.0,79.8,30.09,1207.31,False,,True,False,True,1.74,True,940.53,1006.85,2.13,49.5
