Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
NMDC,80.12,2.61,0.29,25786506.0,53.9,0.1338,78.51,78.75,2.05,12.9,99.1,2.66,84.16,True,Morning Star,False,False,True,True,True,0.77,True,False,False,78.52,82.52,3.0,2.0,1.5,GOOD,74.0
TECHM,1463.4,1.52,0.09,2991915.0,59.0,18.5413,1403.65,1451.64,4.26,22.1,95.5,45.33,1854.0,False,Marubozu,True,False,True,False,False,-0.45,True,False,False,1434.13,1507.3,3.0,2.0,1.5,MODERATE,64.4
HINDALCO,931.8,1.7,0.09,7040200.0,54.7,2.9196,907.17,912.02,2.71,17.9,92.1,31.58,1029.8,False,,False,False,True,True,False,0.1,True,False,False,917.2,959.75,3.0,1.57,1.91,MODERATE,59.2
VEDL,703.0,2.23,0.17,17473076.0,58.4,2.139,674.76,663.48,4.18,11.5,73.8,26.17,757.15,False,,False,False,True,True,False,0.01,True,False,False,688.94,724.09,3.0,2.0,1.5,WEAK,53.7
COALINDIA,456.55,1.6,0.09,14068584.0,57.0,-1.4409,448.55,436.1,1.78,23.5,83.2,13.41,476.0,True,,False,False,True,True,False,-0.01,False,False,False,447.42,470.25,3.0,2.0,1.5,WEAK,49.3
ONGC,286.0,-0.42,0.06,27031966.0,65.6,1.7618,275.18,266.48,3.93,38.4,41.9,7.73,293.0,True,,False,True,True,True,False,0.03,False,False,False,284.2,294.58,3.0,0.63,4.77,WEAK,46.0
TITAN,4149.2,1.27,0.11,1140491.0,53.1,7.8738,4083.31,4099.06,1.61,24.7,64.1,118.16,4378.4,False,,False,False,True,True,False,0.19,False,False,False,4105.0,4273.68,3.0,1.07,2.82,WEAK,44.5
WIPRO,199.65,2.43,0.23,18293969.0,51.1,1.8874,195.8,208.86,1.97,34.5,64.2,5.46,266.23,False,,False,False,True,False,True,1.07,True,False,False,197.0,205.64,3.0,1.33,2.26,WEAK,43.1
INDIANB,890.75,2.46,0.17,1996652.0,49.9,-0.5218,888.3,888.53,0.28,22.2,98.3,35.59,1000.0,False,,False,False,True,True,True,0.86,False,False,False,872.93,917.47,3.0,2.0,1.5,WEAK,39.0
MARICO,760.75,-0.08,0.1,2079701.0,51.6,0.8973,754.87,757.52,0.78,20.5,26.2,17.73,813.5,False,,False,True,True,True,False,0.35,False,False,False,757.35,783.57,3.0,0.45,6.71,WEAK,37.8
FEDERALBNK,268.65,1.17,0.08,10320532.0,47.6,0.4045,270.02,272.72,-0.51,33.3,98.6,9.0,302.0,False,,False,False,True,True,False,-0.06,False,False,False,263.28,276.71,3.0,2.0,1.5,WEAK,35.7
TCS,2467.9,0.7,0.08,4446543.0,44.8,24.2998,2464.75,2646.04,0.13,38.3,61.7,65.44,3509.22,False,,False,False,True,False,True,0.95,True,False,False,2450.0,2541.94,3.0,0.73,4.14,WEAK,35.3
SAIL,153.36,-1.16,0.08,28730491.0,50.4,0.4795,152.65,152.16,0.46,19.0,57.1,6.6,168.21,False,,False,True,False,True,False,-0.81,True,False,False,151.32,157.96,3.0,1.33,2.25,WEAK,35.0
ULTRACEMCO,10658.0,0.36,0.05,414796.0,38.3,4.4433,11159.36,11683.15,-4.49,47.2,77.1,342.12,13110.0,False,Engulfing,False,False,True,False,False,-0.08,False,False,False,10540.0,10977.74,3.0,1.11,2.71,WEAK,34.6
MUTHOOTFIN,3206.5,0.87,0.03,1579629.0,43.8,6.1138,3289.91,3431.9,-2.54,22.2,98.2,129.22,4149.5,False,Hammer,False,False,True,False,True,0.54,False,False,False,3168.0,3302.7,3.0,1.2,2.5,WEAK,34.2
INFY,1314.0,1.01,0.11,13389131.0,51.6,14.7034,1289.31,1365.5,1.92,24.1,71.4,38.14,1728.0,False,,False,False,True,False,False,0.05,True,False,False,1299.0,1353.42,3.0,1.14,2.63,WEAK,33.5
UNIONBANK,174.52,1.47,0.13,22456958.0,47.2,-0.5599,176.82,177.03,-1.3,22.6,94.1,7.47,205.49,False,Hammer,False,False,True,True,True,0.65,False,False,False,171.03,179.76,3.0,2.0,1.5,WEAK,32.4
HCLTECH,1406.8,0.33,0.08,4564292.0,53.4,14.8907,1375.77,1439.32,2.26,29.7,45.7,43.62,1780.1,False,,False,True,True,False,False,-0.37,True,False,False,1394.1,1449.0,3.0,0.9,3.32,WEAK,31.6
DMART,4411.5,1.13,0.38,1077899.0,74.6,65.6835,3979.95,3910.71,10.84,21.0,20.3,136.52,4949.5,False,,False,True,True,True,True,2.01,False,False,True,4384.3,4543.85,3.0,0.62,4.87,WEAK,27.8
CANBK,127.83,0.62,0.14,27104213.0,38.5,-0.6058,134.88,141.18,-5.23,27.6,96.1,5.19,162.89,False,Hammer,False,False,True,False,False,0.13,False,False,False,125.27,131.66,3.0,2.0,1.5,WEAK,26.5
ADANIPOWER,161.86,1.18,0.57,32532753.0,66.8,1.134,151.37,147.49,6.93,14.1,20.0,6.21,182.7,False,,False,True,True,True,True,1.27,False,False,True,161.05,166.72,3.0,0.5,6.0,WEAK,25.6
PFC,403.3,0.26,0.1,10418079.0,50.9,-1.474,401.89,395.95,0.35,18.1,51.1,16.41,431.53,False,,False,True,True,True,False,0.09,False,False,False,398.85,415.4,3.0,1.1,2.72,WEAK,25.3
BANKBARODA,256.6,2.82,0.21,11664577.0,36.6,-2.5935,272.67,284.44,-5.89,35.3,87.4,9.63,325.5,False,,False,False,True,False,True,1.22,False,False,False,252.18,264.3,3.0,1.72,1.74,WEAK,23.6
HINDUNILVR,2063.5,-0.09,0.05,2207269.0,34.3,0.5089,2133.03,2226.52,-3.26,36.5,23.1,49.81,2728.55,False,,False,False,True,False,False,0.0,False,False,False,2060.1,2125.41,3.0,0.16,18.21,WEAK,22.1
TATASTEEL,192.19,-1.0,0.09,35716470.0,47.0,0.1127,194.54,194.01,-1.21,19.4,59.9,6.53,216.45,False,,False,False,False,True,False,-0.58,True,False,False,190.25,197.96,3.0,1.01,2.97,WEAK,21.0
TORNTPHARM,4017.8,0.77,0.11,391592.0,35.7,-43.8937,4214.05,4162.51,-4.66,20.4,83.9,118.66,4482.9,False,,False,False,True,True,False,0.0,False,False,False,3954.8,4138.33,3.0,1.57,1.91,WEAK,19.9
SHREECEM,23205.0,0.35,0.1,33668.0,40.5,65.751,23856.84,24987.6,-2.73,38.8,43.3,654.12,32398.19,False,,False,True,True,False,True,1.45,False,False,False,23010.0,23901.15,3.0,0.84,3.57,WEAK,19.1
