Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
ADANIPORTS,1775.0,3.8,1.83,3015131.0,60.6,11.7251,False,1700.84,1718.91,4.36,22.7,86.4,39.99,1891.1,False,,False,False,True,True,True,0.53,False,False,False,False,1739.5,1828.25,3.0,2.0,1.5,140,248500.0,WEAK,41.7
APOLLOHOSP,8967.0,1.47,1.46,257107.0,58.0,8.8299,True,8797.19,8731.21,1.93,16.2,95.6,151.52,9039.48,True,,False,False,True,True,False,-0.14,False,False,False,False,8815.48,9194.28,2.53,1.69,1.5,32,286944.0,WEAK,38.9
BHEL,433.7,2.74,1.19,7148988.0,57.2,-0.2346,False,424.04,413.78,2.28,28.9,84.0,12.01,446.5,True,Morning Star,False,False,True,True,False,0.0,False,False,False,False,425.03,446.71,3.0,2.0,1.5,576,249811.21,WEAK,38.5
COALINDIA,431.0,2.56,1.67,13641828.0,74.1,3.9004,False,409.79,413.07,5.17,28.0,72.0,7.97,478.71,False,,False,False,True,True,False,0.14,False,False,False,False,423.03,442.96,2.77,1.85,1.5,627,270237.0,WEAK,38.0
JSWSTEEL,1310.0,0.98,0.95,1563208.0,53.2,-2.9768,False,1304.81,1287.14,0.4,30.7,86.9,25.23,1351.0,True,Hammer,False,False,True,True,True,0.51,False,False,False,False,1290.1,1347.85,2.89,1.52,1.9,251,328810.0,WEAK,31.6
ADANIPOWER,214.9,3.12,1.22,27197535.0,57.2,1.0092,False,208.09,210.46,3.27,14.3,87.5,5.92,254.2,False,,False,False,True,True,False,-0.62,False,False,False,False,210.6,221.35,3.0,2.0,1.5,1162,249713.79,WEAK,31.3
PAYTM,1751.5,4.88,2.17,3800698.0,68.0,-6.5279,False,1623.6,1487.33,7.88,41.4,91.1,57.15,1758.9,True,,False,False,True,True,False,0.42,False,False,True,False,1716.47,1804.05,3.0,2.0,1.5,142,248713.0,WEAK,28.7
ADANIENT,3104.7,5.13,2.0,2657599.0,58.8,3.6426,True,2997.99,2990.99,3.56,21.8,82.0,83.89,3245.0,True,,False,False,True,True,False,0.23,False,False,False,False,3042.61,3197.84,3.0,2.0,1.5,80,248376.0,WEAK,27.8
HAL,5000.5,-0.61,2.12,787157.0,61.7,-8.2723,False,4875.12,4742.01,2.57,22.2,0.0,107.78,5149.9,True,,False,True,True,True,False,0.0,False,False,False,False,5000.5,5150.52,3.0,0.0,0.0,0,0.0,WEAK,27.7
SBICARD,668.4,0.06,0.48,4597240.0,59.6,2.1771,False,649.95,643.22,2.84,21.7,64.8,18.8,961.63,False,,False,False,True,True,False,-0.4,False,False,False,False,657.25,688.45,3.0,1.67,1.8,448,299443.21,WEAK,25.4
