Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
DUK,126.53,1.18,1.14,3881800.0,57.4,0.3209,False,124.31,124.66,1.78,14.3,99.4,2.18,133.34,False,,False,False,True,True,True,0.65,False,True,False,False,124.73,129.79,2.58,1.42,1.81,55,6959.15,WEAK,54.6
WEC,115.61,1.29,1.21,2418490.0,59.5,0.3046,False,113.03,112.83,2.28,12.8,73.5,2.06,118.6,True,,False,False,True,True,True,0.77,True,True,False,False,114.39,118.71,2.68,1.06,2.54,81,9364.41,WEAK,54.6
HD,342.86,5.67,1.18,5402260.0,63.9,2.0794,False,323.96,323.7,5.84,20.9,99.3,9.23,418.06,False,Marubozu,True,False,True,True,True,1.44,True,True,False,False,336.0,353.15,3.0,2.0,1.5,14,4800.04,WEAK,52.1
EXC,46.9,0.6,1.12,8460150.0,60.5,0.1676,False,45.75,45.72,2.52,16.3,69.8,0.92,50.18,False,,False,False,True,True,True,0.56,True,True,False,False,46.3,48.28,2.94,1.28,2.3,166,7785.4,WEAK,51.6
WELL,221.43,1.73,1.36,3931920.0,61.6,1.3997,False,211.11,209.46,4.89,13.7,63.3,5.95,223.94,True,,False,False,True,True,True,0.54,False,True,False,False,217.1,228.07,3.0,1.96,1.53,23,5092.89,WEAK,48.6
PEG,81.95,0.69,1.12,2934580.0,62.8,0.3837,False,79.48,79.24,3.11,17.1,74.0,1.52,88.34,False,,False,False,True,True,False,0.75,True,True,False,False,81.21,84.23,2.78,0.9,3.08,135,11063.25,WEAK,48.6
GE,365.88,2.64,1.27,5084950.0,73.3,2.6405,False,337.08,320.27,8.54,34.1,75.2,10.58,369.25,True,,False,False,True,True,False,0.1,True,True,True,False,358.56,376.86,3.0,2.0,1.5,13,4756.44,WEAK,44.1
ABBV,234.89,0.06,1.2,6081640.0,66.1,0.7637,False,223.07,217.63,5.3,18.4,45.2,5.97,239.13,True,,False,True,True,True,False,0.68,True,True,False,False,232.85,241.94,3.0,0.87,3.46,49,11509.61,WEAK,41.3
VTR,86.57,1.41,1.21,4353090.0,57.3,0.4441,False,83.96,84.37,3.11,18.3,48.7,2.17,91.06,True,,False,True,True,True,True,0.91,False,True,False,False,85.4,89.17,3.0,1.35,2.22,85,7358.45,WEAK,41.3
NEE,87.62,1.38,1.24,11393040.0,52.0,0.4859,False,86.64,88.29,1.13,26.0,95.4,1.73,98.03,False,,False,False,True,False,False,0.36,False,True,False,False,86.37,90.21,2.96,1.43,2.07,79,6921.98,WEAK,40.7
PGR,220.5,2.23,1.42,3797630.0,74.5,1.9661,False,204.67,202.23,7.73,24.9,84.1,5.32,251.6,False,,False,False,True,True,True,0.89,False,True,True,False,216.09,227.12,3.0,2.0,1.5,22,4851.0,WEAK,35.7
FAST,46.26,1.45,1.13,6826380.0,55.1,-0.0374,False,45.67,45.26,1.29,15.2,52.5,1.04,49.83,False,,False,True,True,True,False,0.15,True,True,False,False,45.64,47.65,3.0,1.34,2.24,161,7447.86,WEAK,34.8
SYK,313.68,1.19,1.19,2480580.0,54.1,1.0988,False,307.63,313.59,1.97,13.0,26.7,8.68,401.86,False,,False,True,True,False,True,0.91,True,True,False,False,311.55,323.09,3.0,0.68,4.42,46,14429.28,WEAK,30.8
BKNG,181.25,7.29,1.58,8814600.0,64.5,1.2773,False,168.78,168.96,7.39,13.6,73.8,6.65,231.62,False,,False,False,True,True,True,1.32,True,True,True,False,177.62,186.69,3.0,2.0,1.5,27,4893.75,WEAK,28.9
SOFI,17.31,0.12,1.43,83610740.0,53.1,0.068,False,16.99,17.12,1.86,20.3,10.4,0.98,32.73,False,,False,True,True,False,False,-0.4,False,True,False,False,17.18,17.83,3.0,0.75,4.0,769,13311.39,WEAK,24.8
