Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
BHEL,434.0,4.18,3.62,15387248.0,66.3,3.1291,False,400.46,386.65,8.38,20.7,83.5,15.31,439.58,True,,False,False,True,True,True,1.5,False,False,False,False,425.32,447.02,3.0,2.0,1.5,576,249984.0,WEAK,51.8
SIEMENS,3657.6,2.4,4.42,312725.0,56.1,8.9925,True,3570.63,3587.64,2.44,26.4,33.4,105.37,3937.3,False,,False,True,True,True,True,0.76,False,False,False,False,3584.45,3767.33,3.0,2.0,1.5,68,248716.81,WEAK,40.1
TORNTPHARM,4987.6,-0.6,8.21,616628.0,77.0,23.3342,False,4778.05,4588.38,4.39,36.4,64.1,115.65,5085.8,True,,False,False,False,True,False,0.15,True,False,False,False,4887.85,5137.23,3.0,2.0,1.5,50,249380.0,WEAK,38.0
BAJFINANCE,1037.6,1.6,1.2,7542515.0,65.3,-0.9449,False,999.47,964.37,3.81,37.8,77.4,24.17,1095.76,False,,False,False,True,True,False,0.26,False,False,False,False,1021.2,1068.73,3.0,1.58,1.9,304,315430.39,WEAK,37.0
SUNPHARMA,1950.1,-0.07,0.63,2231713.0,70.4,5.3343,False,1896.31,1851.11,2.84,37.8,48.3,30.33,1962.7,True,,False,False,False,True,False,-0.08,True,False,False,False,1943.0,1995.6,2.33,0.36,6.41,704,1372870.38,WEAK,35.6
INDUSINDBK,1013.5,0.38,0.27,2583999.0,64.4,3.385,False,976.23,940.81,3.82,32.2,59.1,24.21,1038.0,True,,False,False,True,True,False,0.82,False,False,False,False,1005.55,1043.9,3.0,0.78,3.82,628,636478.0,WEAK,33.2
TECHM,1510.3,0.77,1.33,2184133.0,62.5,12.7533,False,1441.59,1425.64,4.77,14.6,17.9,45.36,1807.04,False,,False,True,True,True,True,0.75,True,False,False,False,1504.2,1555.61,3.0,0.4,7.43,819,1236935.74,WEAK,33.0
SHREECEM,26930.0,0.28,3.22,11561.0,63.3,55.3555,False,26020.23,25456.34,3.5,24.4,52.7,557.45,32314.19,False,,False,True,True,True,False,0.46,False,False,False,False,26640.75,27737.9,3.0,1.07,2.79,17,457810.0,WEAK,33.0
APOLLOHOSP,8888.0,-0.51,0.69,337675.0,64.9,-1.3408,False,8728.95,8451.51,1.82,32.2,39.2,137.58,9009.0,True,,False,False,False,True,False,-0.04,True,False,False,False,8851.5,9094.37,2.32,0.41,5.65,136,1208768.0,WEAK,32.7
LUPIN,2482.5,0.3,0.86,727011.0,66.6,2.7761,False,2417.08,2353.33,2.71,33.9,12.4,45.41,2511.29,True,,False,True,True,True,False,0.52,True,False,False,False,2478.43,2550.62,2.74,0.16,16.74,1228,3048510.0,WEAK,32.3
