Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
PLD,147.63,1.73,1.61,3979600.0,56.7,0.4455,False,144.6,142.71,2.09,15.4,83.4,3.67,153.35,True,,False,False,True,True,False,-0.01,True,True,False,False,144.68,152.06,3.0,2.0,1.5,33,4871.79,MODERATE,64.1
AMGN,371.5,1.49,1.42,2069550.0,61.1,-0.1815,False,362.14,354.33,2.58,18.3,97.3,8.88,388.36,True,Marubozu,True,False,True,True,False,-1.66,True,True,False,False,364.07,382.64,3.0,2.0,1.5,13,4829.5,MODERATE,62.1
RTX,212.79,1.74,1.28,4602125.0,74.0,1.0708,False,196.09,190.6,8.52,28.1,62.7,5.55,214.89,True,,False,False,True,True,True,0.8,True,True,True,False,209.26,219.17,3.0,1.66,1.81,28,5958.12,WEAK,43.8
UNP,307.32,0.98,1.23,2977350.0,73.0,1.349,False,289.05,277.32,6.32,39.9,70.1,6.91,315.99,True,,False,False,True,True,False,0.05,True,True,True,False,302.64,316.54,3.0,1.52,1.97,21,6453.72,WEAK,41.5
T,24.13,5.1,1.27,63285100.0,69.3,0.3939,False,22.14,22.75,9.0,34.5,100.0,0.75,28.75,False,Marubozu,True,False,True,True,False,0.17,True,True,True,False,23.65,24.85,2.98,1.99,1.5,208,5019.04,WEAK,35.1
COP,120.2,1.19,1.19,5921600.0,66.7,1.5926,False,113.08,113.59,6.29,22.3,9.2,2.88,134.87,False,,False,True,True,True,False,2.06,True,True,True,False,119.98,123.81,3.0,0.18,16.41,454,54570.8,WEAK,29.5
