Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Stop_Loss,Target,RR_Ratio,BTST_Score
BAC,49.27,1.07,0.55,52.6,0.345,48.43,49.97,27.2,38.6,1.28,57.23,False,,False,True,True,False,True,1.95,True,True,48.78,51.2,3.94,42.9
SPGI,425.17,-0.04,0.68,47.7,1.3936,424.68,443.76,31.6,78.6,11.85,575.57,False,,False,False,False,False,False,0.07,True,True,416.03,442.94,1.94,42.0
TXN,196.3,1.11,0.77,49.4,0.7344,195.23,197.66,26.7,66.6,5.88,231.32,False,,False,False,True,True,False,0.23,False,True,194.39,205.12,4.62,41.0
UNP,243.12,0.21,0.65,46.8,0.123,243.76,244.58,36.5,27.6,4.91,268.14,False,,False,True,False,True,False,0.21,True,True,242.0,250.49,6.58,40.8
ACN,197.06,-0.62,0.36,41.9,1.5341,200.98,217.14,30.8,78.2,8.17,324.09,False,,False,False,False,False,False,-0.58,True,True,192.0,209.32,2.42,39.5
MS,166.17,0.97,0.88,53.1,1.1009,163.09,167.12,20.2,50.3,5.47,191.62,False,,False,True,True,False,True,2.64,True,True,163.2,174.38,2.76,38.7
AMZN,210.57,1.1,0.95,50.4,0.2107,208.92,214.34,15.8,44.2,5.92,258.6,False,,False,True,True,False,True,1.04,True,True,208.19,219.45,3.73,38.2
CME,296.94,0.54,0.83,44.5,-2.2114,302.0,297.01,21.9,93.0,6.1,321.47,False,,False,False,False,True,False,0.13,True,True,293.5,306.09,2.66,38.0
TSLA,381.26,2.56,0.86,46.4,-0.3931,384.05,400.98,27.2,79.2,13.74,498.83,False,,False,False,True,False,True,1.89,True,True,374.08,401.87,2.87,37.0
MCO,438.78,0.58,0.88,46.8,1.1485,439.76,455.61,25.0,88.1,13.3,545.7,False,,False,False,False,False,False,0.35,True,True,425.97,458.73,1.56,34.5
CVX,197.41,-4.59,1.31,50.8,-0.5614,199.82,188.22,43.2,25.3,5.23,214.71,False,,False,True,False,True,False,-2.37,False,True,194.91,205.26,3.14,34.4
ICE,158.08,0.51,0.56,48.6,0.0025,158.11,159.94,24.8,87.1,3.73,187.65,False,,False,False,False,False,False,-0.32,True,True,155.24,163.68,1.97,34.0
PEP,154.65,-0.41,0.64,46.4,0.0353,155.63,155.65,22.5,73.5,3.21,169.96,False,,False,False,False,True,False,-1.12,False,True,153.26,159.47,3.47,33.0
TMO,494.54,0.61,0.64,49.3,4.2632,489.91,514.33,37.0,29.2,14.06,643.35,False,,False,True,False,False,True,0.97,True,True,491.86,515.64,7.87,32.3
RTX,194.72,0.94,0.68,45.3,-1.2005,197.3,196.97,24.5,36.0,5.12,214.5,False,,False,True,True,True,True,0.81,True,True,193.64,202.4,7.11,32.3
T,28.31,-2.35,0.52,52.0,-0.008,28.34,27.5,20.8,27.5,0.64,29.44,True,,False,True,False,True,False,-0.14,True,True,28.06,29.27,3.84,30.2
SCHW,92.36,-1.72,1.75,41.6,0.0512,94.15,95.62,19.2,43.4,2.37,107.14,False,,False,True,False,False,False,1.1,True,True,90.0,95.92,1.51,30.2
JPM,295.38,0.41,0.91,52.6,1.3058,291.52,297.62,24.1,42.0,7.29,335.87,False,,False,True,False,False,False,0.42,True,True,292.96,306.31,4.52,30.2
