Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
ONGC,288.05,1.19,1.24,68.7,1.5323,272.65,264.81,35.2,51.5,8.21,293.0,True,,False,True,True,1.88,False,282.8,300.36,2.34,83.5
SAIL,155.82,2.91,1.45,53.0,0.1288,152.31,151.98,20.6,55.5,6.88,168.21,False,,True,True,True,2.76,True,153.1,166.15,3.8,82.5
ADANIPOWER,157.11,4.44,1.38,62.4,0.6668,149.24,146.36,15.3,77.9,6.03,182.7,False,,True,True,True,3.04,False,153.44,166.15,2.46,80.5
