Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
VRTX,466.79,3.36,1.27,1429800.0,63.6,2.3689,False,446.45,443.79,4.55,14.1,92.2,12.04,507.92,False,,False,False,True,True,True,0.89,True,True,False,False,457.45,480.79,3.0,2.0,1.5,10,4667.9,MODERATE,60.6
CAT,1022.28,3.7,1.24,3171300.0,69.6,8.6888,False,924.97,874.77,10.52,26.0,95.9,33.94,1023.25,True,Marubozu,True,False,True,True,True,1.37,True,True,True,False,1001.83,1052.95,3.0,2.0,1.5,4,4089.12,MODERATE,55.0
WFC,83.84,2.0,1.17,15926350.0,60.8,0.3351,False,81.25,80.25,3.19,24.5,79.9,2.09,96.73,False,,False,False,True,True,True,0.63,True,True,False,False,82.68,86.36,3.01,1.38,2.17,86,7210.24,WEAK,49.9
AEP,130.3,2.04,1.17,5586990.0,54.0,0.3171,False,128.76,129.21,1.19,11.9,80.3,2.46,138.43,False,,False,False,True,True,False,0.25,False,True,False,False,127.94,133.99,2.83,1.81,1.56,42,5472.6,WEAK,43.4
PGR,207.38,1.23,1.12,3355000.0,61.6,0.8944,False,201.67,200.9,2.83,20.8,57.7,4.99,251.6,False,,False,True,True,True,False,-0.05,True,True,False,False,203.43,213.6,3.0,1.9,1.57,25,5184.5,WEAK,38.7
ABBV,230.01,6.25,1.37,5470250.0,62.4,-0.2047,False,220.46,216.19,4.33,17.0,75.0,6.14,239.13,True,,False,False,True,True,True,2.52,True,True,False,False,225.41,236.91,3.0,2.0,1.5,21,4830.21,WEAK,36.7
V,326.6,-0.2,2.03,7405720.0,53.0,0.4124,False,324.61,321.78,0.61,12.1,10.4,6.89,357.14,False,,False,True,True,True,False,0.33,True,True,False,False,325.86,336.4,3.0,0.23,13.24,135,44091.0,WEAK,36.5
FDX,328.78,0.79,1.25,1852260.0,53.4,-1.2153,False,327.11,316.46,0.51,10.6,46.3,9.39,345.37,True,,False,True,True,True,False,0.03,True,True,False,False,325.66,338.64,3.0,0.95,3.16,32,10520.96,WEAK,33.5
FAST,46.12,0.5,1.25,6834660.0,54.7,-0.0287,False,45.61,45.2,1.12,16.8,25.6,1.04,49.83,False,,False,True,True,True,False,0.17,True,True,False,False,45.86,47.5,2.99,0.56,5.31,384,17710.08,WEAK,30.9
