Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
LICHSGFIN,585.65,3.17,1.88,1702477.0,63.7,1.4071,False,560.18,541.66,4.55,29.7,90.0,16.18,635.31,False,Engulfing,False,False,True,True,False,-0.33,False,True,False,False,573.94,603.22,3.0,2.0,1.5,426,249486.91,GOOD,74.3
TATASTEEL,219.62,3.59,2.21,20932906.0,64.7,-0.1669,False,211.88,205.79,3.65,21.5,83.5,4.77,220.91,True,Morning Star,False,False,True,True,True,0.58,True,True,False,False,215.23,226.21,3.0,2.0,1.5,1138,249927.55,GOOD,73.2
DIVISLAB,6796.0,2.29,1.91,269604.0,72.7,22.6973,False,6511.27,6351.06,4.37,38.4,67.4,137.33,7039.45,True,,False,False,True,True,True,0.54,True,True,False,False,6660.08,6999.88,3.0,2.0,1.5,36,244656.0,MODERATE,69.1
ASIANPAINT,2617.6,4.47,3.9,901357.0,65.1,6.3646,False,2483.68,2435.01,5.39,28.3,71.9,67.24,2985.7,False,,False,False,True,True,True,1.94,True,True,False,False,2565.25,2696.13,3.0,2.0,1.5,95,248672.01,MODERATE,67.8
GRASIM,2945.6,1.47,2.04,653889.0,64.4,12.8381,False,2847.54,2790.71,3.44,23.8,60.0,65.17,3007.3,True,,False,False,True,True,False,0.25,True,True,False,False,2910.0,3033.97,3.0,1.21,2.48,140,412384.01,MODERATE,61.4
HINDALCO,1073.1,3.04,1.45,3679615.0,63.1,-3.5722,False,1033.07,992.46,3.88,29.5,73.7,27.04,1082.4,True,,False,False,True,True,True,0.63,True,True,False,False,1051.64,1105.29,3.0,2.0,1.5,232,248959.19,MODERATE,57.5
CIPLA,1327.6,2.73,5.24,1147097.0,56.6,0.757,False,1304.94,1301.21,1.74,35.7,64.6,31.31,1673.0,False,Morning Star,False,False,True,False,False,-1.02,True,True,False,False,1301.05,1367.43,3.0,2.0,1.5,188,249588.8,MODERATE,56.2
JSWSTEEL,1274.9,1.8,1.85,1282546.0,57.7,-2.8735,False,1255.41,1229.44,1.55,18.9,72.6,27.78,1306.8,True,,False,False,True,True,False,0.22,True,True,False,False,1255.0,1313.15,3.0,1.56,1.92,251,319999.91,WEAK,54.2
BERGEPAINT,507.7,4.02,25.28,368433.0,65.0,2.4073,False,477.31,466.44,6.37,30.2,23.1,17.88,600.97,False,,False,True,True,True,True,3.46,False,True,False,False,500.0,522.93,3.0,1.52,1.98,649,329497.31,WEAK,50.4
NMDC,91.11,5.18,2.66,15763086.0,61.7,-0.4437,False,88.11,85.09,3.41,16.9,87.2,2.47,92.77,True,Morning Star,False,False,True,True,False,-0.14,True,True,False,False,89.29,93.84,3.0,2.0,1.5,2747,250279.17,WEAK,48.6
ADANIGREEN,1366.7,4.49,1.54,3494240.0,71.1,0.3431,False,1251.22,1121.45,9.23,44.1,77.4,52.89,1398.0,True,,False,False,True,True,False,-0.45,True,True,True,False,1339.37,1407.7,3.0,2.0,1.5,182,248739.39,WEAK,47.1
HINDPETRO,390.1,5.46,2.36,6967466.0,56.4,0.6525,False,377.96,382.75,3.21,16.0,91.1,13.81,508.45,False,Morning Star,False,False,True,False,True,0.68,True,True,False,False,382.3,401.8,3.0,2.0,1.5,641,250054.1,WEAK,46.8
GAIL,163.31,1.85,1.29,6605020.0,55.5,-0.6338,False,161.83,158.95,0.92,22.5,73.7,3.7,195.53,False,Engulfing,False,False,True,True,False,-0.22,True,True,False,False,160.04,168.21,3.0,2.0,1.5,1529,249700.99,WEAK,46.4
ONGC,297.15,0.9,1.37,17776252.0,60.1,-0.5089,False,288.13,280.84,3.13,27.2,50.0,7.47,307.5,True,,False,True,True,True,True,0.85,True,True,False,False,294.1,306.06,3.0,1.03,2.92,1639,487028.84,WEAK,46.1
CONCOR,519.85,0.75,1.61,1196065.0,58.6,-0.4277,False,510.79,497.42,1.77,35.9,56.9,11.93,641.23,False,,False,True,True,True,False,-0.66,True,True,False,False,512.6,535.45,3.0,1.39,2.15,689,358176.63,WEAK,46.1
