Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
FEDERALBNK,325.2,1.66,1.31,7239039.0,70.7,0.8567,False,311.95,299.95,4.25,35.2,79.5,6.63,327.0,True,Engulfing,False,False,True,True,False,-0.13,True,False,False,False,318.7,334.96,3.0,2.0,1.5,769,250078.81,MODERATE,55.4
AXISBANK,1384.5,1.54,1.23,6771476.0,70.1,6.3433,False,1331.0,1308.07,4.02,21.3,94.7,24.29,1418.3,True,,False,False,True,True,False,-0.55,True,False,False,False,1360.21,1420.93,2.63,1.75,1.5,205,283822.5,MODERATE,55.3
DRREDDY,1328.4,2.08,2.62,1275215.0,64.8,4.674,False,1288.13,1286.21,3.13,17.4,60.3,26.64,1375.9,True,,False,False,True,True,True,0.67,True,False,False,False,1306.2,1368.25,3.0,1.67,1.8,225,298890.01,WEAK,52.7
APOLLOHOSP,8573.5,1.01,1.34,298108.0,66.9,-6.3795,False,8384.78,8145.87,2.25,15.3,91.1,138.08,8624.0,True,Morning Star,False,False,True,True,False,0.15,True,False,False,False,8451.0,8780.62,2.42,1.43,1.69,40,342940.0,WEAK,51.2
BANDHANBNK,211.76,2.24,1.25,8251746.0,58.0,-0.3313,False,206.48,197.29,2.56,21.6,75.7,6.83,218.13,True,Engulfing,False,False,True,True,False,-0.2,True,False,False,False,207.52,218.11,3.0,2.0,1.5,1179,249665.03,WEAK,49.7
BAJFINANCE,990.95,2.97,1.18,8344445.0,68.3,9.2056,False,935.88,925.43,5.88,21.2,92.9,23.23,1102.5,False,Engulfing,False,False,True,True,False,-1.04,False,False,False,False,971.13,1020.68,3.0,2.0,1.5,252,249719.4,WEAK,49.0
ADANIENT,3069.7,3.6,1.4,1801252.0,65.5,-12.1047,False,2939.24,2726.04,4.44,45.4,92.4,84.14,3091.7,True,,False,False,True,True,True,0.86,False,False,False,False,3008.31,3161.79,3.0,2.0,1.5,81,248645.7,WEAK,48.6
HINDPETRO,412.9,4.07,1.11,6968626.0,62.1,1.6525,False,392.49,388.1,5.2,13.0,94.1,12.03,508.45,False,Morning Star,False,False,True,True,False,-0.05,False,False,False,False,404.64,425.29,3.0,2.0,1.5,605,249804.5,WEAK,47.5
ICICIBANK,1373.6,2.64,1.05,15670434.0,69.0,7.5218,False,1314.3,1298.79,4.51,27.1,89.2,25.74,1488.51,False,,False,False,True,True,False,0.17,True,False,False,False,1347.86,1412.21,2.81,1.87,1.5,194,266478.4,WEAK,46.9
HDFCBANK,793.2,2.39,1.01,34216989.0,63.4,5.6992,False,764.14,769.16,3.8,21.4,92.4,16.07,1003.9,False,Engulfing,False,False,True,False,False,-0.21,True,False,False,False,777.34,817.0,3.0,2.0,1.5,315,249858.0,WEAK,44.8
NHPC,79.31,1.81,1.28,27608878.0,59.0,0.6995,False,76.42,77.24,3.79,20.7,60.3,2.05,87.64,False,Engulfing,False,False,True,True,False,-0.49,False,False,False,False,77.72,81.69,3.0,2.0,1.5,3144,249350.63,WEAK,43.8
IOC,146.3,2.19,1.25,13951231.0,58.1,0.7422,False,142.21,143.09,2.87,15.5,85.9,3.43,186.61,False,,False,False,True,True,True,0.57,False,False,False,False,143.37,150.69,3.0,2.0,1.5,1706,249587.81,WEAK,41.7
SUNPHARMA,1874.4,0.34,0.74,1890046.0,67.3,8.0009,False,1826.33,1806.06,2.63,18.1,55.2,29.56,1916.6,True,Engulfing,False,False,False,True,False,0.0,True,False,False,False,1864.9,1918.74,2.37,0.51,4.67,526,985934.41,WEAK,41.2
SHREECEM,26070.0,4.13,2.18,27431.0,65.7,160.198,False,24859.87,24828.85,4.87,18.7,92.1,588.5,32398.19,False,Morning Star,False,False,True,True,True,2.02,False,False,False,False,25548.6,26852.1,3.0,2.0,1.5,9,234630.0,WEAK,40.6
LICHSGFIN,550.55,1.73,1.11,1111591.0,51.5,0.0492,True,548.15,545.26,0.44,13.1,85.5,13.15,635.31,False,Engulfing,False,False,True,True,False,-0.13,False,False,False,False,539.54,567.07,3.0,2.0,1.5,454,249949.69,WEAK,40.5
BPCL,315.7,2.32,0.76,10054680.0,60.1,1.8064,False,304.34,304.62,3.73,15.1,87.2,8.21,391.65,False,Morning Star,False,False,True,True,False,0.1,False,False,False,False,309.39,325.17,3.0,2.0,1.5,792,250034.41,WEAK,39.1
PIDILITIND,1579.0,0.79,0.79,981664.0,71.0,3.6663,False,1530.13,1481.28,3.19,32.6,72.5,30.36,1599.3,True,Morning Star,False,False,False,True,False,0.21,False,False,False,False,1563.2,1624.55,2.88,1.0,2.88,316,498964.0,WEAK,38.7
INDUSINDBK,926.1,2.45,0.75,2398134.0,53.6,-0.0642,False,916.38,902.91,1.06,18.3,81.3,24.02,967.28,True,Engulfing,False,False,True,True,False,-0.15,True,False,False,False,907.58,953.88,3.0,2.0,1.5,269,249120.89,WEAK,37.9
ADANIGREEN,1525.4,0.94,0.8,2406705.0,60.5,-4.6363,False,1476.56,1365.86,3.31,39.7,80.2,49.85,1557.0,True,,False,False,True,True,False,-0.09,False,False,False,False,1494.89,1571.16,3.0,2.0,1.5,163,248640.2,WEAK,37.6
TMCV,411.4,2.84,1.9,10560713.0,61.1,4.8071,False,391.82,395.63,5.0,27.0,49.3,14.51,503.32,False,,False,True,True,True,True,0.99,False,False,False,False,403.17,423.74,3.0,2.0,1.5,607,249719.8,WEAK,37.3
IDFCFIRSTB,79.2,0.57,0.49,29307215.0,68.9,0.3879,False,75.55,72.7,4.83,39.1,68.5,1.88,87.0,False,,False,False,False,True,False,-0.42,True,False,False,False,78.33,81.58,3.01,1.1,2.74,5747,455162.38,WEAK,36.1
CHOLAFIN,1792.9,3.88,1.22,1935884.0,73.6,26.8689,False,1625.15,1588.39,10.32,26.3,87.7,48.84,1830.13,True,,False,False,True,True,False,-0.17,False,False,True,False,1757.04,1846.69,3.0,2.0,1.5,139,249213.1,WEAK,34.7
CIPLA,1437.9,0.33,1.23,1745080.0,66.0,3.136,False,1385.83,1359.4,3.76,20.3,46.6,29.22,1657.45,False,,False,True,False,True,False,0.88,True,False,False,False,1425.7,1481.04,3.0,0.85,3.54,409,588101.11,WEAK,33.7
TECHM,1461.6,3.25,1.42,2437835.0,51.5,-4.5672,False,1451.29,1452.88,0.71,12.9,89.5,44.88,1854.0,False,,False,False,True,True,False,0.31,True,False,False,False,1432.37,1505.45,3.0,2.0,1.5,171,249933.6,WEAK,33.7
KOTAKBANK,405.95,1.07,0.88,13387717.0,64.4,1.0294,False,395.3,389.72,2.7,21.3,74.2,7.72,453.2,False,,False,False,True,True,False,0.0,True,False,False,False,400.2,417.52,2.85,1.42,2.01,869,352770.56,WEAK,33.5
AMBUJACEM,426.85,2.89,1.61,2700064.0,49.5,0.901,False,425.83,435.11,0.24,11.8,91.1,11.3,621.87,False,,False,False,True,False,False,0.28,False,False,False,False,418.31,439.66,3.0,2.0,1.5,585,249707.25,WEAK,31.5
LT,4181.7,0.06,0.64,2151328.0,63.0,16.9147,False,4083.33,4003.57,2.41,20.7,26.0,76.37,4397.05,True,,False,False,False,True,False,-0.07,False,False,False,False,4170.0,4296.26,2.74,0.28,9.79,427,1785585.98,WEAK,30.8
RECLTD,363.65,0.48,1.18,4555696.0,59.7,2.5299,False,352.11,348.81,3.28,17.6,64.6,8.71,388.79,False,,False,False,False,True,False,0.07,False,False,False,False,360.55,374.56,3.0,0.85,3.52,1612,586203.79,WEAK,30.8
