Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
HAL,4559.5,5.09,3.78,750945.0,71.5,22.2385,4233.73,4139.13,7.69,26.3,88.8,115.24,5105.25,False,,False,False,True,True,False,0.4,True,True,False,4468.31,4696.28,3.0,2.0,1.5,MODERATE,63.7
DIVISLAB,6619.5,1.8,1.31,283489.0,70.4,46.2978,6311.93,6236.72,4.87,27.3,84.7,140.05,7039.45,False,,False,False,True,True,False,0.08,True,True,False,6487.11,6818.09,3.0,2.0,1.5,MODERATE,63.7
EICHERMOT,7329.0,3.09,1.37,498160.0,56.0,24.833,7133.62,7173.34,2.74,12.6,93.0,204.49,8230.0,False,Engulfing,False,False,True,True,False,0.0,True,True,False,7182.42,7548.87,3.0,2.0,1.5,MODERATE,59.8
APOLLOHOSP,7737.5,1.32,0.89,367741.0,55.9,6.6582,7641.95,7545.39,1.25,10.4,55.1,163.52,8088.76,True,Morning Star,False,False,True,True,True,0.82,True,True,False,7673.0,7969.62,3.0,0.83,3.6,MODERATE,57.8
COLPAL,2172.9,3.66,0.79,646611.0,63.7,16.28,2066.99,2052.68,5.12,25.3,91.2,59.87,2688.8,False,,False,False,True,True,True,0.67,True,True,False,2129.44,2238.09,3.0,2.0,1.5,MODERATE,57.8
CIPLA,1335.0,1.94,0.51,2133118.0,65.7,13.4971,1276.07,1290.5,4.62,32.4,89.9,28.09,1673.0,False,,False,False,True,True,True,0.79,True,True,False,1313.6,1375.05,3.0,1.6,1.87,MODERATE,57.2
LUPIN,2348.8,1.89,1.36,961534.0,57.2,-0.5034,2315.07,2287.42,1.46,8.6,77.3,52.59,2381.0,True,,False,False,True,True,True,0.64,True,True,False,2304.1,2419.26,3.0,1.9,1.58,MODERATE,56.9
SIEMENS,3834.1,0.68,1.57,518148.0,69.0,14.9559,3617.43,3407.41,5.99,35.9,12.8,119.26,3930.0,True,,False,True,True,True,False,1.1,True,True,False,3820.0,3949.12,3.0,0.37,8.16,WEAK,54.7
CHOLAFIN,1639.5,4.9,2.94,1920288.0,61.1,10.233,1550.14,1565.32,5.76,15.9,88.7,57.67,1830.13,False,,False,False,True,True,False,0.12,False,True,False,1606.71,1688.68,3.0,2.0,1.5,WEAK,53.9
MARICO,784.55,1.23,0.59,1480970.0,59.7,2.5933,768.93,762.92,2.03,15.6,81.4,15.98,813.5,True,,False,False,True,True,True,0.77,True,True,False,774.9,808.09,3.0,1.23,2.44,WEAK,53.9
