Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
NESTLEIND,1379.9,7.27,6.84,1401118.0,75.7,18.0178,1250.14,1248.92,10.38,28.9,85.3,34.15,1396.0,True,,False,False,True,True,True,0.91,True,True,False,1352.3,1421.3,3.0,2.0,1.5,HIGH,102.5
ULTRACEMCO,12039.0,1.02,0.97,330627.0,59.8,156.9086,11528.62,11691.02,4.43,28.0,90.2,325.39,13110.0,False,Engulfing,False,False,True,True,False,-0.98,True,True,False,11800.0,12400.17,3.0,1.99,1.51,HIGH,96.5
LICHSGFIN,565.15,5.3,4.5,1227128.0,68.1,5.0361,524.56,520.06,7.74,15.9,95.2,15.1,635.31,False,,False,False,True,True,True,1.0,False,True,False,553.85,582.1,3.0,2.0,1.5,HIGH,93.5
ICICIBANK,1388.4,2.37,1.06,22002580.0,66.0,17.3441,1311.93,1320.99,5.83,26.1,85.8,34.09,1488.51,False,,False,False,True,True,True,0.87,True,True,False,1360.63,1430.05,3.0,2.0,1.5,HIGH,92.5
GODREJCP,1125.05,1.83,1.11,1681287.0,60.5,15.7487,1072.44,1098.55,4.91,24.2,80.7,31.75,1297.65,False,,False,False,True,True,True,0.74,True,True,False,1102.55,1158.8,3.0,2.0,1.5,HIGH,92.5
AXISBANK,1377.7,1.7,0.69,7385142.0,64.7,16.1696,1306.21,1294.19,5.47,22.7,89.8,36.33,1418.3,True,,False,False,True,True,False,0.47,True,True,False,1354.7,1419.03,3.0,1.67,1.8,HIGH,87.5
BRITANNIA,5837.5,2.41,0.65,418490.0,57.8,44.8008,5658.88,5754.25,3.16,24.3,85.0,154.61,6336.0,False,,False,False,True,True,False,0.26,True,True,False,5720.75,6012.62,3.0,2.0,1.5,HIGH,82.5
PGHH,10340.0,4.1,0.62,19274.0,57.1,131.3499,9966.25,10525.01,3.75,38.4,92.5,298.49,14273.41,False,Engulfing,False,False,True,False,False,0.0,True,True,False,10133.2,10650.2,3.0,2.0,1.5,HIGH,81.0
ITC,309.65,1.52,1.2,20314376.0,57.3,2.1579,302.58,311.08,2.34,23.5,77.9,5.73,427.21,False,Engulfing,False,False,True,False,False,0.0,True,True,False,304.55,318.25,2.78,1.65,1.69,HIGH,80.0
VEDL,766.8,-0.54,2.0,15254863.0,66.0,7.9815,728.2,693.88,5.3,25.2,11.5,24.25,795.0,True,,False,True,False,True,False,2.68,True,True,False,763.15,789.8,3.0,0.48,6.3,GOOD,79.5
SBIN,1111.85,0.36,0.8,21204174.0,59.2,11.5815,1070.49,1074.69,3.86,27.2,67.0,31.18,1234.7,False,,False,False,False,True,True,0.5,True,True,False,1105.95,1145.21,3.0,0.53,5.65,GOOD,78.5
HINDALCO,1021.65,0.63,0.39,7636749.0,64.1,11.2117,969.52,941.54,5.38,20.5,86.9,30.33,1048.7,True,,False,False,False,True,False,0.27,True,True,False,1011.4,1052.3,3.0,1.0,2.99,GOOD,77.5
DABUR,452.0,2.33,1.17,2609056.0,54.9,5.9331,437.74,458.64,3.26,25.3,79.0,13.35,573.97,False,Engulfing,False,False,True,False,False,-0.01,True,True,False,442.96,465.56,3.0,2.0,1.5,GOOD,77.5
TCS,2610.5,1.2,0.59,4587994.0,58.4,27.4704,2527.88,2618.13,3.27,23.1,93.5,61.21,3509.22,False,Engulfing,False,False,True,False,False,-0.76,True,True,False,2560.0,2688.82,3.0,1.93,1.55,GOOD,76.0
TECHM,1500.8,-0.24,1.13,1767140.0,61.3,11.4907,1452.0,1459.81,3.36,23.8,53.9,40.92,1854.0,False,,False,False,False,True,False,-0.23,True,True,False,1489.0,1545.82,3.0,0.79,3.82,GOOD,73.5
GAIL,160.77,1.95,1.02,12919439.0,64.3,2.255,152.23,154.0,5.61,24.2,64.0,4.56,195.53,False,Morning Star,False,False,True,True,False,0.0,True,True,False,157.7,165.59,3.0,1.91,1.57,GOOD,73.5
APOLLOHOSP,7744.0,1.14,0.83,377633.0,60.4,36.2752,7537.69,7476.32,2.74,12.2,78.5,170.14,8088.76,True,,False,False,True,True,False,0.39,False,True,False,7667.5,7976.32,3.0,0.99,3.04,GOOD,72.5
NAUKRI,1077.7,0.92,0.34,1827824.0,63.6,14.0155,1022.69,1061.34,5.38,20.3,79.6,32.67,1540.07,False,,False,False,True,False,False,0.29,True,True,False,1065.25,1110.03,3.0,1.16,2.6,MODERATE,69.5
BANKBARODA,284.05,1.08,0.63,12431513.0,55.7,3.2835,276.08,282.08,2.89,21.7,70.1,8.61,325.5,False,,False,False,True,True,False,0.39,True,True,False,281.35,292.57,3.0,0.95,3.16,MODERATE,68.5
HDFCBANK,811.75,2.05,1.0,49120211.0,50.9,7.9872,800.44,838.18,1.41,29.7,84.0,23.62,1020.5,False,Engulfing,False,False,True,False,False,-0.03,True,True,False,795.51,836.1,3.0,2.0,1.5,MODERATE,67.5
BAJAJFINSV,1851.4,1.14,0.71,1336530.0,57.6,24.7167,1789.39,1841.6,3.47,24.2,88.0,48.65,2195.0,False,Engulfing,False,False,True,False,False,-0.18,False,True,False,1825.0,1906.94,3.0,1.43,2.1,MODERATE,67.5
PIDILITIND,1407.8,1.24,0.59,1208638.0,57.7,14.566,1356.32,1386.67,3.8,17.9,81.5,41.22,1574.95,False,Engulfing,False,False,True,False,False,-0.11,True,True,False,1380.0,1450.03,3.0,1.97,1.52,MODERATE,67.5
MARICO,762.5,0.24,0.44,2081322.0,53.2,2.1217,754.84,756.37,1.02,12.7,76.3,17.16,813.5,False,,False,False,False,True,False,-0.09,True,True,False,754.6,785.38,3.0,1.04,2.9,MODERATE,65.0
