Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
ICICIPRULI,535.55,4.22,1.46,1183304.0,46.7,1.0542,535.71,564.2,-0.03,25.3,87.3,16.55,706.8,False,Morning Star,False,False,True,False,True,1.07,False,True,False,524.84,551.62,3.0,2.0,1.5,WEAK,43.8
BRITANNIA,5792.5,1.16,0.78,419756.0,55.5,22.0262,5693.39,5744.56,1.74,15.3,72.8,133.42,6336.0,False,,False,False,True,True,False,0.07,True,True,False,5715.0,5966.28,3.0,1.34,2.24,WEAK,41.5
HDFCAMC,2753.6,1.51,0.5,971884.0,58.7,2.21,2671.97,2612.43,3.05,23.4,58.0,76.72,2967.25,False,,False,False,True,True,False,0.46,False,True,False,2725.0,2836.21,3.0,1.04,2.89,WEAK,41.5
ONGC,292.9,-2.22,0.87,17809030.0,59.1,0.7233,287.84,278.05,1.76,36.3,7.3,7.21,307.5,True,,False,True,False,True,False,-0.38,True,True,False,292.35,301.69,3.0,0.19,15.98,WEAK,40.8
POWERGRID,319.05,0.22,0.9,8199705.0,64.2,-0.0556,313.23,303.0,1.86,29.0,51.0,6.67,324.95,True,Morning Star,False,True,False,True,False,-1.37,True,True,False,314.0,328.62,3.0,1.58,1.9,WEAK,40.6
GAIL,164.48,0.77,0.8,10949154.0,63.6,0.791,159.3,157.05,3.25,26.3,10.1,4.18,195.53,False,,False,True,True,True,False,1.27,True,True,False,164.14,169.41,3.0,0.21,14.5,WEAK,38.1
COALINDIA,479.95,-0.31,0.68,11450388.0,67.4,3.983,459.08,446.98,4.55,24.9,38.2,11.74,491.25,True,,False,True,False,True,False,0.03,True,True,False,475.6,494.35,3.0,0.91,3.31,WEAK,38.1
JSWSTEEL,1266.6,0.17,0.67,2312826.0,59.6,3.4008,1240.2,1214.99,2.13,19.6,23.9,32.09,1306.8,True,,False,True,False,True,False,1.07,True,True,False,1259.9,1304.6,3.0,0.53,5.67,WEAK,38.1
MARUTI,13580.0,2.0,1.57,459857.0,55.7,56.9969,13260.3,13622.44,2.41,18.5,26.8,370.26,17370.0,False,,False,True,True,False,True,1.84,True,True,False,13435.0,13987.4,3.0,1.07,2.81,WEAK,37.8
ADANIENT,2485.7,3.21,2.09,2883076.0,78.0,31.3587,2238.8,2150.32,11.03,41.6,79.1,82.92,2695.0,False,,False,False,True,True,False,-0.75,False,True,True,2435.99,2560.27,3.0,2.0,1.5,WEAK,37.7
DRREDDY,1287.2,-2.7,0.63,3650536.0,51.8,7.3793,1283.71,1270.4,0.27,27.5,16.8,37.38,1375.9,False,,False,True,False,True,False,-0.22,True,True,False,1280.6,1325.82,3.0,0.51,5.85,WEAK,36.7
SAIL,186.15,0.83,0.85,23098898.0,74.4,0.904,175.27,165.36,6.21,34.4,52.8,5.29,189.1,True,Morning Star,False,True,True,True,False,0.34,True,True,True,184.28,191.73,3.0,1.0,2.98,WEAK,36.4
INDUSINDBK,913.9,-0.23,0.61,3262280.0,62.5,9.6359,870.93,864.1,4.93,22.6,8.9,26.43,968.85,False,,False,True,False,True,False,1.0,True,True,False,911.1,941.32,3.0,0.31,9.79,WEAK,35.3
NHPC,83.28,0.1,0.6,15744714.0,61.3,0.077,81.3,79.03,2.44,23.5,31.9,2.14,90.16,False,,False,True,False,True,False,0.24,True,True,False,82.85,85.78,3.0,0.52,5.81,WEAK,35.3
MGL,1135.4,-0.02,0.5,235299.0,63.3,4.998,1099.43,1080.34,3.27,32.3,26.4,34.34,1549.34,False,,False,True,False,True,False,0.95,True,True,False,1129.8,1169.46,3.0,0.49,6.08,WEAK,35.3
TATAPOWER,441.4,-0.71,0.55,8883711.0,62.8,0.4932,429.15,408.35,2.85,24.1,30.5,11.25,464.9,False,,False,True,False,True,False,0.21,True,True,False,438.5,454.64,3.0,0.66,4.57,WEAK,35.3
BAJFINANCE,950.2,1.41,0.94,7951900.0,60.9,4.7136,917.71,919.77,3.54,19.6,43.4,26.37,1102.5,False,Morning Star,False,True,True,True,False,0.12,False,True,False,938.1,978.71,3.0,1.27,2.36,WEAK,35.3
NMDC,89.09,-1.42,0.79,25106104.0,59.9,-0.003,87.43,83.89,1.9,20.4,23.2,2.38,92.77,True,,False,True,False,True,False,0.7,True,True,False,88.3,91.76,3.0,0.89,3.38,WEAK,35.0
BANDHANBNK,206.76,3.52,1.83,21861579.0,76.7,3.6346,180.69,171.26,14.43,25.8,48.1,7.75,212.66,True,,False,True,True,True,True,1.49,True,True,True,202.62,212.96,3.0,2.0,1.5,WEAK,34.4
ADANIPORTS,1742.6,5.15,2.49,2883910.0,78.6,15.2162,1578.43,1512.68,10.4,25.8,90.2,47.79,1748.6,True,,False,False,True,True,True,2.7,True,True,True,1707.75,1794.88,3.0,2.0,1.5,WEAK,34.0
ADANIGREEN,1290.7,5.18,1.08,5827829.0,80.8,10.3616,1139.02,1039.24,13.32,41.6,81.4,49.48,1305.0,True,,False,False,True,True,False,0.43,True,True,True,1264.89,1329.42,3.0,2.0,1.5,WEAK,33.2
NTPC,400.05,0.23,0.69,9156694.0,59.1,-0.1399,394.39,382.15,1.44,21.3,37.1,8.67,414.4,True,,False,True,False,True,False,0.21,True,True,False,397.25,412.05,3.0,0.7,4.29,WEAK,32.2
ASIANPAINT,2448.1,0.15,0.61,954965.0,56.3,-0.8193,2417.64,2398.77,1.26,28.8,9.0,63.85,2985.7,False,,False,True,False,True,False,0.63,True,True,False,2442.3,2521.54,3.0,0.24,12.66,WEAK,32.2
TATASTEEL,212.24,0.42,1.0,23061261.0,59.0,-0.1347,208.94,202.92,1.58,18.5,27.1,4.74,218.24,True,,False,True,False,True,False,0.56,True,True,False,211.4,218.61,3.0,0.4,7.58,WEAK,32.2
ITC,311.1,-1.21,1.26,16019708.0,55.7,1.5145,306.77,310.47,1.41,19.5,8.1,5.45,427.21,False,,False,True,False,False,False,0.95,True,True,False,310.5,319.27,2.63,0.19,13.62,WEAK,30.8
ADANIPOWER,227.3,2.46,1.12,60161385.0,84.5,1.3113,201.73,178.14,12.68,45.2,44.6,7.86,234.0,True,,False,True,True,True,True,0.52,True,True,True,222.75,234.12,3.0,2.0,1.5,WEAK,30.5
MUTHOOTFIN,3487.7,1.85,0.92,429249.0,52.8,-10.6783,3461.45,3455.5,0.76,13.1,73.8,98.36,4114.71,False,Morning Star,False,False,True,True,False,0.0,False,True,False,3417.95,3592.33,3.0,2.0,1.5,WEAK,29.7
IDFCFIRSTB,69.59,-0.07,0.95,21435591.0,56.5,0.5069,67.82,69.23,2.61,20.8,24.2,1.84,87.0,False,,False,True,False,False,False,0.62,True,True,False,69.23,71.68,3.0,0.52,5.81,WEAK,28.1
IGL,166.91,0.54,0.19,5249088.0,58.1,0.4711,163.4,163.75,2.15,20.0,32.7,4.69,223.11,False,,False,True,True,False,False,1.2,True,True,False,166.01,171.92,3.0,0.54,5.57,WEAK,28.1
FEDERALBNK,289.15,0.77,0.67,8205758.0,54.3,-0.7001,286.85,281.74,0.8,18.0,41.2,7.53,302.0,True,,False,True,True,True,False,1.06,True,True,False,287.4,297.82,3.0,0.61,4.95,WEAK,28.1
LICHSGFIN,557.0,0.41,0.43,1616928.0,60.4,0.9792,541.26,529.78,2.91,18.7,54.5,13.8,635.31,False,,False,True,False,True,False,0.09,False,True,False,551.25,573.71,3.0,1.03,2.91,WEAK,26.9
PGHH,10205.0,0.58,0.49,10262.0,51.0,63.5985,10139.03,10460.71,0.65,28.2,24.5,272.61,14273.41,False,,False,True,True,False,False,2.05,True,True,False,10155.0,10511.15,3.0,0.49,6.12,WEAK,25.3
BERGEPAINT,470.3,-0.59,0.99,160928.0,58.5,0.2447,459.43,457.39,2.36,24.9,18.2,14.15,600.97,False,,False,True,False,False,False,0.0,False,True,False,468.1,484.41,3.0,0.47,6.41,WEAK,25.3
TECHM,1471.6,-0.13,0.43,3448022.0,54.9,0.3022,1443.17,1452.52,1.97,18.3,44.1,46.08,1854.0,False,,False,True,False,True,False,0.71,False,True,False,1455.2,1515.75,3.0,1.11,2.69,WEAK,25.3
NESTLEIND,1457.1,-0.1,0.46,3762956.0,79.1,17.0046,1353.81,1299.97,7.63,45.6,40.6,33.36,1472.9,True,,False,True,False,True,False,0.1,True,True,True,1446.3,1500.81,3.0,0.74,4.05,WEAK,22.7
