Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
APOLLOHOSP,9050.0,2.61,1.3,199580.0,62.7,-9.3978,False,8855.93,8624.1,2.19,24.0,100.0,145.17,9050.0,True,Marubozu,True,False,True,True,False,-0.23,True,False,False,False,8904.83,9267.75,2.41,1.6,1.5,34,307700.0,WEAK,54.9
TITAN,4935.0,1.23,1.65,717581.0,81.4,14.6505,False,4696.98,4512.72,5.07,42.5,100.0,75.15,4935.0,True,,False,False,True,True,True,1.23,False,False,False,False,4862.0,5047.72,2.28,1.48,1.54,68,335580.0,WEAK,54.2
HINDALCO,1020.0,2.52,1.88,4092219.0,65.1,9.2644,False,968.79,983.73,5.29,16.7,100.0,20.62,1169.9,False,Marubozu,True,False,True,True,False,0.01,False,False,False,False,999.6,1050.6,3.0,2.0,1.5,245,249900.0,WEAK,53.7
SBILIFE,1899.0,1.15,1.6,946444.0,62.5,5.9681,False,1847.95,1833.5,2.76,25.9,79.7,39.93,2129.04,False,,False,False,True,True,False,1.25,False,False,False,False,1861.02,1955.97,3.0,2.0,1.5,131,248769.0,WEAK,49.5
ICICIBANK,1454.6,-0.37,0.94,12144632.0,66.0,-1.0828,False,1418.32,1375.67,2.56,28.3,100.0,24.52,1467.63,True,Hammer,False,False,False,True,False,-0.55,True,False,False,False,1430.8,1491.38,2.53,1.64,1.55,210,305465.99,WEAK,46.5
IDFCFIRSTB,86.0,0.0,0.37,35328491.0,68.8,0.2743,False,82.56,79.04,4.17,36.1,92.3,1.97,88.76,True,,False,False,False,True,False,-0.15,True,False,False,False,84.45,88.58,3.0,1.8,1.66,3225,277350.0,WEAK,46.5
MARICO,875.0,-0.68,1.25,1872986.0,62.1,2.2519,False,857.35,837.23,2.06,40.5,79.2,17.89,889.1,True,,False,False,False,True,False,0.0,False,False,False,False,857.5,901.25,3.0,2.0,1.5,285,249375.0,WEAK,43.4
SUNPHARMA,1964.0,0.03,0.47,3059449.0,58.1,-2.5318,False,1949.57,1898.14,0.74,35.7,94.4,34.38,2046.9,True,,False,False,False,True,False,-0.63,True,False,False,False,1947.0,2015.58,2.63,0.87,3.03,294,577416.0,WEAK,43.4
ULTRACEMCO,12050.0,-0.03,0.35,360539.0,67.4,37.7018,False,11648.82,11461.27,3.44,14.8,100.0,203.3,12847.76,False,Marubozu,True,False,False,True,False,-1.11,False,False,False,False,11905.0,12354.94,2.53,1.2,2.1,34,409700.0,WEAK,43.3
JSWSTEEL,1300.0,0.6,0.78,1880040.0,64.8,6.3028,False,1259.89,1252.99,3.18,20.3,100.0,25.23,1320.42,True,,False,False,False,True,False,-0.91,False,False,False,False,1275.9,1337.85,2.91,1.85,1.57,207,269100.0,WEAK,42.2
KOTAKBANK,398.0,0.13,0.6,15101144.0,59.9,1.9867,False,388.02,387.72,2.57,22.3,95.9,7.73,452.42,False,,False,False,False,True,False,-0.5,True,False,False,False,392.1,409.59,2.91,1.48,1.96,847,337106.0,WEAK,42.2
