Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
TORNTPHARM,4517.1,3.11,2.56,221434.0,71.7,35.2591,False,4262.61,4202.61,5.97,21.4,82.5,98.71,4555.1,True,,False,False,True,True,True,0.58,True,False,False,False,4426.76,4652.61,3.0,2.0,1.5,55,248440.51,WEAK,48.0
APOLLOHOSP,8082.0,-0.19,1.26,370531.0,68.4,33.8855,False,7755.18,7615.88,4.21,16.1,49.0,150.54,8144.0,True,,False,False,True,True,False,-0.63,True,False,False,False,8022.5,8307.8,2.79,0.74,3.79,84,678888.0,WEAK,35.9
LICHSGFIN,585.6,0.71,2.49,1409869.0,68.2,2.764,False,556.43,538.73,5.24,27.2,53.3,15.06,635.31,False,,False,True,True,True,False,-0.46,False,False,False,False,573.89,603.17,3.0,2.0,1.5,426,249465.59,WEAK,29.9
MARICO,842.55,1.35,1.42,1914185.0,76.8,7.0093,False,792.33,774.81,6.34,27.1,74.0,18.76,848.8,True,Engulfing,False,False,True,True,False,-0.19,True,False,True,False,825.7,867.83,3.0,2.0,1.5,296,249394.8,WEAK,26.0
ADANIGREEN,1387.7,2.35,1.13,3700273.0,84.3,8.1189,False,1231.81,1103.41,12.66,45.9,86.0,46.23,1398.0,True,Engulfing,False,False,True,True,False,-0.94,False,False,True,False,1359.95,1429.33,3.0,2.0,1.5,180,249785.99,WEAK,23.7
