Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
NESTLEIND,1493.6,2.87,4.07,1606533.0,67.9,2.7945,True,1436.69,1413.17,3.96,17.6,70.7,29.79,1510.0,True,,False,False,True,True,True,0.58,True,False,False,False,1463.81,1538.29,2.99,1.99,1.5,167,249431.2,WEAK,43.1
PIDILITIND,1608.6,1.09,1.7,894544.0,60.7,-3.688,False,1577.12,1539.26,2.0,29.0,84.7,31.12,1626.7,True,,False,False,True,True,False,0.0,True,False,False,False,1577.48,1655.27,2.9,1.93,1.5,160,257376.0,WEAK,40.6
INDUSINDBK,1069.3,0.55,2.56,1982439.0,74.0,5.6146,False,1000.62,956.81,6.86,37.0,61.5,24.35,1077.85,True,,False,False,True,True,False,-0.51,False,False,False,False,1055.65,1101.38,3.0,1.28,2.35,366,391363.82,WEAK,40.1
BAJAJ.AUTO,10998.5,5.72,2.86,506248.0,71.6,82.4685,False,10276.26,10116.46,7.03,23.0,92.9,236.36,11031.0,True,,False,False,True,True,True,1.98,True,False,False,False,10778.53,11328.45,3.0,2.0,1.5,22,241967.0,WEAK,36.2
TITAN,4711.6,0.49,1.23,810406.0,73.7,9.2683,False,4536.69,4398.04,3.86,35.2,63.1,77.36,4733.0,True,,False,False,True,True,False,-0.06,False,False,False,False,4675.0,4827.64,2.46,0.78,3.17,136,640777.61,WEAK,35.9
GODREJCP,1068.8,1.38,1.1,473782.0,54.4,-2.0348,False,1059.3,1051.83,0.9,13.0,90.0,24.63,1291.23,False,Hammer,False,False,True,True,True,0.72,True,False,False,False,1047.42,1100.86,3.0,2.0,1.5,233,249030.41,WEAK,34.1
JSWSTEEL,1266.9,-0.04,2.53,1574724.0,57.2,5.5231,False,1244.58,1246.75,1.79,14.7,29.5,23.9,1320.42,True,,False,True,True,True,False,-0.23,True,False,False,False,1261.7,1302.74,2.83,0.41,6.89,961,1217490.92,WEAK,34.0
PETRONET,279.65,1.08,1.6,1920779.0,53.5,-0.2378,False,277.39,276.35,0.82,10.3,86.2,5.68,322.68,False,Engulfing,False,False,True,True,False,-0.51,True,False,False,False,274.06,288.04,3.0,2.0,1.5,894,250007.09,WEAK,32.4
HAL,4574.8,-0.15,1.46,666832.0,63.0,12.8663,False,4455.26,4393.32,2.68,12.1,33.9,92.02,4936.98,False,,False,True,True,True,False,0.07,False,False,False,False,4548.0,4712.04,3.0,0.59,5.12,186,850912.76,WEAK,25.2
