Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
COALINDIA,428.0,3.21,2.44,6839552.0,60.8,0.247,True,416.48,415.62,2.77,23.9,91.8,7.88,478.71,False,,False,False,True,True,True,2.41,False,False,False,False,420.12,439.83,2.76,1.84,1.5,634,271352.0,MODERATE,55.4
ETERNAL,342.0,1.82,1.38,16087083.0,71.7,0.7735,True,324.72,312.93,5.32,19.6,100.0,7.59,368.45,False,,False,False,True,True,True,0.54,False,False,False,False,335.16,352.26,3.0,2.0,1.5,730,249660.0,WEAK,48.6
DRREDDY,1211.0,1.06,2.21,1516905.0,62.3,7.6304,False,1171.79,1187.92,3.35,25.2,47.1,23.17,1405.98,False,,False,True,True,False,True,0.73,True,False,False,False,1201.2,1245.76,2.87,0.81,3.55,510,617610.0,WEAK,41.2
MARICO,830.0,0.68,0.59,1856288.0,52.4,2.5498,False,820.38,829.46,1.17,33.9,91.6,15.97,889.1,False,,False,False,True,True,False,0.02,False,False,False,False,824.55,853.95,2.89,0.66,4.39,917,761110.0,WEAK,40.9
BANDHANBNK,184.7,3.18,1.75,12752784.0,66.6,1.8502,False,173.71,176.74,6.33,15.6,92.1,5.16,218.86,False,,False,False,True,True,True,0.56,True,False,True,False,181.01,190.24,3.0,2.0,1.5,1355,250268.5,WEAK,38.7
DLF,669.5,1.4,1.27,4084682.0,55.1,-0.5387,False,656.63,653.65,1.96,22.1,81.3,16.31,776.75,False,,False,False,True,True,False,0.27,False,False,False,False,659.05,689.59,3.0,1.56,1.92,478,320021.0,WEAK,35.0
PAYTM,1814.4,0.24,0.22,5375201.0,62.8,0.1143,False,1727.21,1584.4,5.05,42.4,46.3,60.01,1855.5,True,,False,False,False,True,False,-0.07,False,False,False,False,1802.6,1868.83,3.0,0.65,4.61,423,767491.21,WEAK,33.5
LUPIN,2135.0,0.49,0.98,609577.0,46.7,10.9642,False,2129.96,2207.51,0.24,36.6,100.0,39.44,2523.7,False,,False,False,True,False,False,-0.04,True,False,False,False,2109.0,2194.17,2.77,1.22,2.28,192,409920.0,WEAK,31.5
LICHSGFIN,565.0,-0.53,0.74,3758439.0,62.5,0.3974,False,546.1,534.91,3.46,26.8,16.7,15.47,586.43,True,,False,True,False,True,False,0.18,False,False,False,False,563.2,581.95,3.0,0.32,9.42,2777,1569005.0,WEAK,31.4
IOC,137.8,0.93,1.53,7279064.0,53.5,0.3202,False,136.29,137.67,1.11,21.9,40.0,2.34,184.96,False,,False,True,True,False,True,0.73,False,False,False,False,136.8,141.31,2.55,0.73,3.51,4999,688862.22,WEAK,31.2
BPCL,313.6,0.27,2.74,4004261.0,53.0,0.6347,False,310.53,311.8,0.99,23.4,54.2,6.96,391.65,False,,False,True,False,True,False,0.72,False,False,False,False,308.15,323.01,3.0,1.74,1.73,917,287571.21,WEAK,30.3
DIVISLAB,9352.0,-0.62,0.6,490429.0,61.3,-50.434,False,9181.83,8600.53,1.85,51.4,28.4,182.62,9615.0,True,,False,True,False,True,False,0.36,True,False,False,False,9315.5,9625.93,2.93,0.39,7.5,136,1271872.0,WEAK,30.2
HDFCBANK,738.6,-0.12,1.22,29186876.0,59.0,5.5567,False,719.94,732.14,2.59,23.0,0.0,12.85,1003.9,False,,False,True,False,False,False,-0.09,True,False,False,False,738.6,757.88,2.61,-0.0,0.0,0,0.0,WEAK,30.1
APOLLOHOSP,8835.5,-0.86,1.42,246249.0,51.3,8.1929,False,8816.8,8761.66,0.21,13.3,7.3,145.75,9039.48,True,,False,True,False,True,False,0.54,True,False,False,False,8822.5,9054.12,2.47,0.15,16.82,384,3392832.0,WEAK,29.6
HEROMOTOCO,5373.0,-0.85,1.22,444989.0,50.3,5.3455,True,5356.53,5337.24,0.31,25.1,6.7,112.59,6175.52,False,,False,True,False,True,False,0.09,False,False,False,False,5368.0,5534.19,3.0,0.09,32.24,1000,5373000.0,WEAK,29.1
ONGC,236.13,0.21,0.72,11226606.0,51.3,0.4186,False,234.98,238.65,0.49,21.1,90.8,3.91,306.2,False,Hammer,False,False,False,False,False,-0.05,False,False,False,False,233.75,242.0,2.49,1.01,2.47,2100,495873.01,WEAK,28.1
