Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,MACD_Crossover,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Has_Earnings,Stop_Loss,Target,Target%,SL%,RR_Ratio,Shares,Position_Value,Conviction,BTST_Score
KO,91.1,0.66,1.32,11773600.0,70.9,0.2628,False,87.49,84.83,4.13,26.7,88.6,1.61,91.87,True,Hammer,False,False,True,True,False,0.39,True,True,False,False,90.32,93.52,2.66,0.86,3.1,128,11660.8,MODERATE,69.1
MDT,93.35,1.14,1.1,6810825.0,68.5,0.3174,False,89.19,85.76,4.66,29.1,89.0,2.15,103.76,False,,False,False,True,True,False,0.29,True,True,False,False,91.73,96.15,3.0,1.74,1.73,61,5694.35,MODERATE,57.5
APD,305.1,1.59,1.58,855575.0,55.8,-0.2253,False,301.33,296.78,1.25,20.0,64.3,7.08,314.87,True,,False,False,True,True,False,0.26,True,True,False,False,299.9,314.25,3.0,1.7,1.76,19,5796.9,MODERATE,57.5
EOG,153.05,0.57,1.24,2517400.0,65.8,1.0067,False,144.59,140.63,5.85,18.9,78.2,3.7,153.67,True,,False,False,True,True,False,0.07,False,True,False,False,151.65,157.64,3.0,0.91,3.28,71,10866.55,MODERATE,55.4
FCX,76.66,7.64,2.7,10554700.0,69.3,0.625,False,67.77,65.41,13.11,16.6,77.1,3.0,77.33,True,,False,False,True,True,True,4.55,True,True,False,False,75.13,78.96,3.0,2.0,1.5,65,4982.9,WEAK,52.3
GS,1039.28,3.73,1.84,1489350.0,49.9,-1.285,False,1038.03,1034.36,0.12,10.7,87.4,29.63,1153.99,False,,False,False,True,True,True,1.4,True,True,False,False,1018.49,1070.46,3.0,2.0,1.5,4,4157.12,WEAK,49.0
ADP,280.81,0.57,1.33,1958750.0,65.6,-0.3279,False,268.76,253.96,4.48,38.2,73.7,7.29,300.55,False,,False,False,True,True,False,0.18,True,True,False,False,277.0,289.23,3.0,1.36,2.21,26,7301.06,WEAK,47.7
DE,647.47,4.27,2.5,957125.0,62.4,1.0687,True,610.4,602.55,6.07,19.6,85.3,20.96,670.49,True,,False,False,True,True,False,0.37,True,True,True,False,634.52,666.89,3.0,2.0,1.5,7,4532.29,WEAK,46.7
ECL,281.63,0.05,2.05,1171425.0,54.4,-0.2297,False,279.48,275.4,0.77,19.0,61.2,5.88,307.61,False,,False,False,False,True,False,-0.06,True,True,False,False,278.45,290.08,3.0,1.13,2.66,31,8730.53,WEAK,42.8
MRK,152.55,2.39,2.27,7027425.0,77.9,2.0915,False,136.29,129.52,11.93,33.2,67.1,4.41,154.49,True,,False,False,True,True,False,0.09,True,True,True,False,149.5,157.13,3.0,2.0,1.5,32,4881.6,WEAK,41.5
COF,217.91,2.56,1.13,3257925.0,54.5,-0.9267,False,216.29,208.66,0.75,20.5,72.3,5.37,256.64,False,,False,False,True,True,True,1.01,True,True,False,False,214.62,224.45,3.0,1.51,1.99,30,6537.3,WEAK,41.5
TSLA,362.86,5.14,1.28,46080000.0,58.0,6.2295,False,342.1,358.78,6.07,20.3,81.4,13.86,498.83,False,,False,False,True,False,True,1.38,True,True,True,False,355.6,373.75,3.0,2.0,1.5,13,4717.18,WEAK,41.1
NEM,131.58,3.09,1.34,7847625.0,75.9,2.1894,False,113.06,106.41,16.38,33.1,70.1,4.57,134.29,True,,False,False,True,True,True,2.73,True,True,True,False,129.8,135.53,3.0,1.35,2.22,56,7368.48,WEAK,40.6
LULU,121.07,4.65,1.16,2802100.0,51.9,-0.5605,False,119.97,121.41,0.91,11.6,87.6,4.3,225.98,False,,False,False,True,False,True,1.05,True,True,False,False,118.65,124.7,3.0,2.0,1.5,41,4963.87,WEAK,37.3
COP,134.87,-0.01,1.47,5921650.0,74.6,1.2872,False,124.11,118.97,8.67,27.6,29.4,3.25,135.88,True,,False,False,False,True,False,0.0,False,True,True,False,134.45,138.92,3.0,0.31,9.64,238,32099.06,WEAK,36.9
