Symbol,Close,Change%,Volume_Ratio,Avg_Vol,RSI,MACD_Hist,EMA20,EMA50,EMA_Dist%,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Entry_Overextended,Stop_Loss,Target,Target%,SL%,RR_Ratio,Conviction,BTST_Score
DRREDDY,1331.0,9.37,7.5,2188554.0,65.1,7.9337,1244.99,1253.3,6.91,26.8,81.4,38.43,1371.0,True,Morning Star,False,False,True,True,True,1.07,True,False,False,1304.38,1370.93,3.0,2.0,1.5,HIGH,83.5
MARICO,778.9,0.83,1.15,1898522.0,59.6,3.604,758.65,757.86,2.67,13.2,91.7,17.03,813.5,True,Hammer,False,False,True,True,False,0.32,False,False,False,765.65,802.27,3.0,1.7,1.76,MODERATE,60.5
APOLLOHOSP,7781.0,1.55,0.76,402589.0,60.5,34.9462,7571.57,7495.25,2.77,11.4,84.1,174.36,8088.76,True,,False,False,True,True,False,0.3,True,False,False,7625.38,8014.43,3.0,2.0,1.5,WEAK,52.8
DIVISLAB,6378.5,1.48,1.6,253443.0,64.6,49.5448,6157.11,6167.27,3.6,19.2,58.4,146.49,7039.45,False,Engulfing,False,True,True,True,False,-0.33,True,False,False,6250.93,6569.86,3.0,2.0,1.5,WEAK,52.5
ULTRACEMCO,12167.0,-0.21,0.69,330061.0,61.4,148.7185,11646.66,11728.58,4.47,27.0,83.4,315.01,13110.0,False,,False,False,True,True,False,-0.72,False,False,False,11936.0,12532.01,3.0,1.9,1.58,WEAK,49.6
TITAN,4456.5,0.04,0.46,1486099.0,58.8,14.4692,4355.48,4240.59,2.32,19.3,78.3,113.68,4554.0,True,,False,False,True,True,False,-0.98,False,False,False,4393.5,4590.19,3.0,1.41,2.12,WEAK,46.4
FEDERALBNK,295.4,-0.35,0.45,8130884.0,61.9,2.2978,284.71,279.33,3.75,23.7,59.7,7.96,302.0,True,,False,False,True,True,False,-0.51,False,False,False,293.55,304.26,3.0,0.63,4.79,WEAK,43.8
HINDALCO,1041.35,0.14,0.66,6641044.0,67.1,9.381,982.43,949.16,6.0,22.2,57.1,29.17,1049.0,True,,False,False,True,True,False,-0.01,False,False,False,1031.15,1072.59,3.0,0.98,3.06,WEAK,43.8
LT,4054.1,0.82,0.56,4010446.0,58.4,35.746,3918.76,3897.8,3.45,17.0,88.4,117.18,4440.0,False,,False,False,True,True,False,-0.28,False,False,False,3978.5,4175.72,3.0,1.86,1.61,WEAK,43.2
GODREJCP,1142.95,0.3,0.61,1523363.0,63.3,16.1371,1084.94,1101.84,5.35,24.4,89.0,31.24,1297.65,False,,False,False,True,True,False,-0.05,False,False,False,1120.3,1177.24,3.0,1.98,1.51,WEAK,43.2
BANDHANBNK,173.9,-1.48,1.07,9195325.0,58.5,2.1152,167.64,164.48,3.73,20.2,78.2,6.55,190.74,False,,False,False,False,True,False,-1.58,False,False,False,171.1,179.12,3.0,1.61,1.86,WEAK,43.2
POWERGRID,319.15,-0.19,0.52,14088685.0,70.5,1.9891,307.44,297.86,3.81,24.1,28.9,7.4,323.05,True,,False,True,True,True,False,0.08,True,False,False,318.05,328.72,3.0,0.34,8.7,WEAK,42.7
CIPLA,1305.9,5.63,2.96,1784623.0,64.0,11.2027,1243.98,1284.1,4.98,27.0,96.9,27.9,1673.0,False,,False,False,True,False,False,-0.18,True,False,False,1279.78,1345.08,3.0,2.0,1.5,WEAK,42.4
TORNTPHARM,4147.2,1.53,1.24,396033.0,48.2,2.1422,4159.88,4151.27,-0.3,17.8,75.4,100.64,4482.9,False,Engulfing,False,False,True,True,False,-0.39,True,False,False,4065.1,4271.62,3.0,1.98,1.52,WEAK,41.9
COALINDIA,450.65,1.46,0.68,13150862.0,54.5,-0.5423,444.8,438.9,1.32,15.0,90.4,11.33,476.0,False,,False,False,True,True,False,0.02,True,False,False,442.65,464.17,3.0,1.78,1.69,WEAK,41.9
DABUR,460.0,0.0,0.52,2660184.0,58.4,6.9556,441.78,458.75,4.12,25.6,84.9,13.07,573.97,False,,False,False,True,False,False,-0.24,False,False,False,452.7,473.8,3.0,1.59,1.89,WEAK,41.3
ICICIBANK,1348.0,-1.43,0.91,22129277.0,56.3,12.4981,1320.16,1323.81,2.11,26.0,42.9,32.66,1488.51,False,,False,False,False,True,False,-1.4,False,False,False,1343.5,1388.44,3.0,0.33,8.99,WEAK,40.6
NTPC,402.25,-0.78,0.67,13692878.0,66.2,2.6368,386.52,375.59,4.07,19.0,33.6,9.58,407.25,True,,False,True,True,True,False,-0.35,True,False,False,400.4,414.32,3.0,0.46,6.52,WEAK,40.0
TATAPOWER,430.3,-1.32,0.72,10971252.0,69.6,3.408,410.92,395.76,4.72,20.9,26.8,11.45,440.8,True,,False,True,False,True,False,-0.13,True,False,False,427.55,443.21,3.0,0.64,4.69,WEAK,40.0
ONGC,286.25,0.92,0.78,17263252.0,59.7,-0.5903,282.0,273.56,1.51,31.0,38.3,6.51,293.0,True,,False,True,True,True,False,0.42,True,False,False,284.05,294.84,3.0,0.77,3.9,WEAK,39.7
LUPIN,2341.4,1.45,1.0,1119328.0,57.3,-0.3072,2313.78,2279.8,1.19,10.0,54.5,52.17,2381.0,True,Morning Star,False,True,True,True,False,0.0,True,False,False,2294.57,2411.64,3.0,2.0,1.5,WEAK,39.7
COLPAL,2150.2,1.51,1.05,620778.0,66.4,38.3476,2007.63,2029.14,7.1,30.6,95.1,61.3,2688.8,False,Morning Star,False,False,True,True,False,-0.38,False,False,True,2107.2,2214.71,3.0,2.0,1.5,WEAK,39.6
ADANIPORTS,1602.9,0.9,0.53,4556296.0,69.4,22.1384,1494.96,1466.37,7.22,22.7,81.9,45.46,1611.9,True,Engulfing,False,False,True,True,False,-0.86,False,False,True,1570.84,1650.99,3.0,2.0,1.5,WEAK,38.3
